ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
A,2021-10-31,2021-12-30,,,,,282431944,,,,,
A,2022-10-31,2022-12-30,1254000000.0,6848000000.0,5305000000.0,2769000000.0,282431944,1254000000.0,0.23638077285579642,0.18311915887850466,0.5219604147031103,
A,2023-10-31,2023-12-30,1240000000.0,6833000000.0,5845000000.0,2735000000.0,282431944,1240000000.0,0.21214713430282292,0.18147226693985072,0.4679213002566296,-0.011164274322169059
A,2024-10-31,2024-12-30,1289000000.0,6510000000.0,5898000000.0,3390000000.0,282431944,1289000000.0,0.21854866056290267,0.19800307219662058,0.5747711088504578,0.03951612903225806
A,2025-01-31,2025-04-01,,,,,282431944,,,,,
A,2025-04-30,2025-06-29,215000000.0,1668000000.0,6136000000.0,3495000000.0,282431944,,,0.1288968824940048,0.5695893089960886,
A,2025-07-31,2025-09-29,336000000.0,1738000000.0,6370000000.0,3409000000.0,282431944,,,0.19332566168009205,0.5351648351648352,
A,2025-10-31,2025-12-30,434000000.0,1861000000.0,6741000000.0,3354000000.0,282431944,,,0.23320795271359485,0.4975522919448153,
A,2026-01-31,2026-04-01,305000000.0,1798000000.0,6908000000.0,3354000000.0,282431944,1290000000.0,0.1867400115807759,0.1696329254727475,0.4855240301100174,
A,2026-04-30,2026-06-29,339000000.0,1835000000.0,7122000000.0,3355000000.0,282431944,1414000000.0,0.19853973602920527,0.18474114441416895,0.4710755405784892,0.5767441860465117
