ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
ABBV,2021-12-31,2022-03-01,,,,,1767117285,,,,,
ABBV,2022-12-31,2023-03-01,11836000000.0,58054000000.0,17254000000.0,63271000000.0,1767117285,11836000000.0,0.6859858583516866,0.20387914700106796,3.667033731308682,
ABBV,2023-12-31,2024-02-29,4863000000.0,54318000000.0,10360000000.0,59385000000.0,1767117285,4863000000.0,0.4694015444015444,0.0895283331492323,5.732142857142857,-0.589134842852315
ABBV,2024-12-31,2025-03-01,,,,,1767117285,,,,,
ABBV,2025-03-31,2025-05-30,,,,,1767117285,,,,,
ABBV,2025-06-30,2025-08-29,938000000.0,15423000000.0,-183000000.0,70481000000.0,1767117285,,,0.060818258445179275,-385.14207650273227,
ABBV,2025-09-30,2025-11-29,186000000.0,15776000000.0,-2642000000.0,68743000000.0,1767117285,,,0.011790060851926978,-26.019303557910675,
ABBV,2025-12-31,2026-03-01,1816000000.0,16618000000.0,-3270000000.0,67496000000.0,1767117285,,,0.10927909495727524,-20.64097859327217,
ABBV,2026-03-31,2026-05-30,695000000.0,15002000000.0,-6656000000.0,72858000000.0,1767117285,3635000000.0,-0.5461237980769231,0.04632715637914945,-10.946213942307692,
ABBV,2026-06-30,2026-08-29,3613000000.0,16990000000.0,-5935000000.0,70822000000.0,1767117285,6310000000.0,-1.06318449873631,0.21265450264861682,-11.932940185341197,2.85181236673774
