ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
ADBE,2021-11-30,2022-01-29,,,,,397500000,,,,,
ADBE,2022-11-30,2023-01-29,4756000000.0,17606000000.0,14051000000.0,4633000000.0,397500000,4756000000.0,0.3384812468863426,0.27013518118823127,0.32972742153583373,
ADBE,2023-11-30,2024-01-29,5428000000.0,19409000000.0,16518000000.0,4080000000.0,397500000,5428000000.0,0.32861121201113935,0.2796640733680251,0.24700326916091536,0.14129520605550883
ADBE,2024-11-30,2025-01-29,,,,,397500000,,,,,
ADBE,2025-02-28,2025-04-29,,,,,397500000,,,,,
ADBE,2025-05-31,2025-07-30,1691000000.0,5873000000.0,11448000000.0,6563000000.0,397500000,,,0.2879278052102843,0.5732879105520615,
ADBE,2025-08-31,2025-10-30,1772000000.0,5988000000.0,11770000000.0,6636000000.0,397500000,,,0.2959251837007348,0.5638062871707732,
ADBE,2025-11-30,2026-01-29,1856000000.0,6194000000.0,11623000000.0,6648000000.0,397500000,,,0.29964481756538586,0.5719693710745934,
ADBE,2026-02-28,2026-04-29,1889000000.0,6398000000.0,11433000000.0,6656000000.0,397500000,7208000000.0,0.6304556984168634,0.2952485151609878,0.5821744074171259,
ADBE,2026-05-31,2026-07-30,1712000000.0,6618000000.0,11518000000.0,7065000000.0,397500000,7229000000.0,0.6276263240145858,0.25868842550619525,0.6133877409272444,0.012418687167356593
