ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
ADI,2021-10-31,2021-12-30,,,,,487087040,,,,,
ADI,2022-10-31,2022-12-30,2748561000.0,12013953000.0,36465323000.0,6602253000.0,487087040,2748561000.0,0.07537465114459564,0.22878073520014602,0.1810556566302731,
ADI,2023-10-31,2023-12-30,3314579000.0,12305539000.0,35565122000.0,7013478000.0,487087040,3314579000.0,0.09319745901616758,0.2693566693827877,0.19720101058559564,0.20593248612637668
ADI,2024-10-31,2024-12-30,1635273000.0,9427157000.0,35176317000.0,7649817000.0,487087040,1635273000.0,0.04648789695635276,0.17346406769294284,0.21747066357174347,-0.50664232169455
ADI,2025-01-31,2025-04-01,,,,,487087040,,,,,
ADI,2025-04-30,2025-06-29,569770000.0,2640068000.0,35010620000.0,7197137000.0,487087040,,,0.21581641078941907,0.2055701098695196,
ADI,2025-07-31,2025-09-29,518518000.0,2880348000.0,34085842000.0,8688603000.0,487087040,,,0.18001921989981767,0.25490357550797776,
ADI,2025-10-31,2025-12-30,787738000.0,3076117000.0,33815755000.0,8664610000.0,487087040,,,0.25608193706546273,0.256229973277249,
ADI,2026-01-31,2026-04-01,830826000.0,3160263000.0,33787259000.0,8682221000.0,487087040,2706852000.0,0.08011457810176316,0.26289773984000697,0.2569673082980777,
ADI,2026-04-30,2026-06-29,1176350000.0,3623465000.0,33742033000.0,8684849000.0,487087040,3313432000.0,0.09819894373288059,0.3246478163856971,0.2573896184619344,1.0646050160591116
