ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
ADM,2021-12-31,2022-03-01,,,,,481959583,,,,,
ADM,2022-12-31,2023-03-01,4340000000.0,101556000000.0,24284000000.0,10288000000.0,481959583,4340000000.0,0.17871849777631363,0.042735042735042736,0.42365343436007247,
ADM,2023-12-31,2024-02-29,3483000000.0,93935000000.0,24132000000.0,9596000000.0,481959583,3483000000.0,0.14433117851815017,0.03707883110661628,0.3976462787999337,-0.19746543778801842
ADM,2024-12-31,2025-03-01,,,,,481959583,,,,,
ADM,2025-03-31,2025-05-30,,,,,481959583,,,,,
ADM,2025-06-30,2025-08-29,219000000.0,21166000000.0,22430000000.0,10617000000.0,481959583,,,0.01034678257582916,0.4733392777530094,
ADM,2025-09-30,2025-11-29,108000000.0,20372000000.0,22494000000.0,9207000000.0,481959583,,,0.005301394070292558,0.4093091491064284,
ADM,2025-12-31,2026-03-01,456000000.0,18556000000.0,22733000000.0,9758000000.0,481959583,,,0.024574261694330676,0.4292438305547002,
ADM,2026-03-31,2026-05-30,298000000.0,20490000000.0,22804000000.0,10657000000.0,481959583,1081000000.0,0.04740396421680407,0.014543679843826257,0.4673302929310647,
ADM,2026-06-30,2026-08-29,908000000.0,22681000000.0,23573000000.0,9342000000.0,481959583,1770000000.0,0.07508590336401816,0.0400335082227415,0.396300852670428,3.146118721461187
