ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
ALB,2021-12-31,2022-03-01,,,,,118005057,,,,,
ALB,2022-12-31,2023-03-01,2689816000.0,7320104000.0,7982627000.0,3316369000.0,118005057,2689816000.0,0.336958748041215,0.3674559814997164,0.41544832296435746,
ALB,2023-12-31,2024-02-29,1573476000.0,9617203000.0,9412180000.0,4280444000.0,118005057,1573476000.0,0.16717444842746315,0.16361056327915716,0.4547771079601113,-0.41502467083250305
ALB,2024-12-31,2025-03-01,,,,,118005057,,,,,
ALB,2025-03-31,2025-05-30,,,,,118005057,,,,,
ALB,2025-06-30,2025-08-29,22897000.0,1329992000.0,10240526000.0,3717532000.0,118005057,,,0.01721589302792799,0.3630215869770752,
ALB,2025-09-30,2025-11-29,-160694000.0,1307829000.0,9996113000.0,3735038000.0,118005057,,,-0.12287080344601627,0.37364903738082994,
ALB,2025-12-31,2026-03-01,-414179000.0,1428031000.0,9533365000.0,3296651000.0,118005057,,,-0.29003502024815986,0.3458014038065258,
ALB,2026-03-31,2026-05-30,319091000.0,1428731000.0,9850174000.0,1881831000.0,118005057,-232885000.0,-0.02364272955990422,0.22333875306128306,0.1910454576741487,
ALB,2026-06-30,2026-08-29,479959000.0,1743313000.0,10275169000.0,1876784000.0,118005057,224177000.0,0.02181735405033241,0.275314300988979,0.18265237291960842,19.96165436520068
