ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
ALL,2021-12-31,2022-03-01,,,,,252857950,,,,,
ALL,2022-12-31,2023-03-01,-1289000000.0,50617000000.0,17488000000.0,7964000000.0,252857950,-1289000000.0,-0.07370768526989936,-0.02546575261275856,0.4553979871912168,
ALL,2023-12-31,2024-02-29,-188000000.0,56591000000.0,17770000000.0,7942000000.0,252857950,-188000000.0,-0.010579628587507035,-0.0033220830167341097,0.4469330332020259,0.8541505042668736
ALL,2024-12-31,2025-03-01,,,,,252857950,,,,,
ALL,2025-03-31,2025-05-30,,,,,252857950,,,,,
ALL,2025-06-30,2025-08-29,2109000000.0,16546000000.0,24019000000.0,8087000000.0,252857950,,,0.12746283089568475,0.33669178566967817,
ALL,2025-09-30,2025-11-29,3746000000.0,17061000000.0,27505000000.0,8089000000.0,252857950,,,0.21956508997127952,0.294091983275768,
ALL,2025-12-31,2026-03-01,3832000000.0,17199000000.0,30610000000.0,7490000000.0,252857950,,,0.22280365137507996,0.24469127736033977,
ALL,2026-03-31,2026-05-30,2457000000.0,16751000000.0,31607000000.0,7491000000.0,252857950,12144000000.0,0.3842186857341728,0.14667781027998328,0.23700446103711204,
ALL,2026-06-30,2026-08-29,3271000000.0,18336000000.0,33698000000.0,7492000000.0,252857950,13306000000.0,0.39486022909371477,0.17839223385689354,0.22232773458365482,0.5509720246562352
