ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
APO,2021-12-31,2022-03-01,,,,,590543159,,,,,
APO,2022-12-31,2023-03-01,-1961000000.0,10968000000.0,6640000000.0,6522000000.0,590543159,-1961000000.0,-0.2953313253012048,-0.1787928519328957,0.9822289156626506,
APO,2023-12-31,2024-02-29,5047000000.0,32644000000.0,14044000000.0,8092000000.0,590543159,5047000000.0,0.3593705497009399,0.15460727851978925,0.5761891199088579,3.5736868944416114
APO,2024-12-31,2025-03-01,,,,,590543159,,,,,
APO,2025-03-31,2025-05-30,442000000.0,5556000000.0,17976000000.0,10581000000.0,590543159,,,0.07955363570914327,0.5886181575433912,
APO,2025-06-30,2025-08-29,630000000.0,6814000000.0,19321000000.0,12144000000.0,590543159,,,0.09245670678015849,0.6285388955023032,
APO,2025-09-30,2025-11-29,1736000000.0,9823000000.0,23137000000.0,12631000000.0,590543159,,,0.17672808714242086,0.5459221160911095,
APO,2025-12-31,2026-03-01,684000000.0,9864000000.0,23341000000.0,13364000000.0,590543159,3492000000.0,0.1496079859474744,0.06934306569343066,0.5725547320166231,
APO,2026-03-31,2026-05-30,-1906000000.0,5057000000.0,19951000000.0,14220000000.0,590543159,1144000000.0,0.05734048418625633,-0.3769033023531738,0.7127462282592352,-5.3122171945701355
APO,2026-06-30,2026-08-29,,,,,590543159,,,,,
