ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
ARE,2021-12-31,2022-03-01,,,,,172095277,,,,,
ARE,2022-12-31,2023-03-01,521660000.0,2576040000.0,18972387000.0,10566462000.0,172095277,521660000.0,0.027495749480547702,0.20250461949348614,0.5569389871711978,
ARE,2023-12-31,2024-02-29,103639000.0,2842456000.0,18471175000.0,11698525000.0,172095277,103639000.0,0.005610850419640332,0.03646107450739783,0.6333395141348614,-0.8013284514818081
ARE,2024-12-31,2025-03-01,,,,,172095277,,,,,
ARE,2025-03-31,2025-05-30,,,,,172095277,,,,,
ARE,2025-06-30,2025-08-29,-107002000.0,737279000.0,17175235000.0,13657519000.0,172095277,,,-0.14513094771450158,0.7951867325250571,
ARE,2025-09-30,2025-11-29,-232754000.0,735849000.0,16639302000.0,13955527000.0,172095277,,,-0.3163067422800058,0.8387086790058862,
ARE,2025-12-31,2026-03-01,-1080875000.0,728872000.0,15470070000.0,12761098000.0,172095277,,,-1.482942135244597,0.8248894801380989,
ARE,2026-03-31,2026-05-30,361653000.0,653013000.0,15734092000.0,12878605000.0,172095277,-1058978000.0,-0.06730467827441203,0.5538220525471927,0.8185159334266,
ARE,2026-06-30,2026-08-29,-72783000.0,643210000.0,15553976000.0,13167779000.0,172095277,-1024759000.0,-0.06588405434083221,-0.11315588998927255,0.8465860433370863,0.31979776078951794
