ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
AVGO,2021-10-31,2021-12-30,,,,,4757580198,,,,,
AVGO,2022-10-31,2022-12-30,11495000000.0,33203000000.0,22709000000.0,39515000000.0,4757580198,11495000000.0,0.5061869743273592,0.3462036562961178,1.7400590074419833,
AVGO,2023-10-31,2023-12-30,14082000000.0,35819000000.0,23988000000.0,39229000000.0,4757580198,14082000000.0,0.5870435217608805,0.39314330383316115,1.6353593463398366,0.22505437146585472
AVGO,2024-10-31,2024-12-30,5895000000.0,51574000000.0,67678000000.0,67566000000.0,4757580198,5895000000.0,0.08710363781435622,0.11430177996664986,0.998345104760779,-0.5813804857264593
AVGO,2025-01-31,2025-04-01,,,,,4757580198,,,,,
AVGO,2025-04-30,2025-06-29,4965000000.0,15004000000.0,69586000000.0,67282000000.0,4757580198,,,0.33091175686483604,0.966889891644871,
AVGO,2025-07-31,2025-09-29,4140000000.0,15952000000.0,73277000000.0,64229000000.0,4757580198,,,0.25952858575727183,0.8765233292847687,
AVGO,2025-10-31,2025-12-30,8518000000.0,18015000000.0,81292000000.0,65136000000.0,4757580198,,,0.47282819872328613,0.8012596565467697,
AVGO,2026-01-31,2026-04-01,7349000000.0,19311000000.0,79872000000.0,66057000000.0,4757580198,24972000000.0,0.31265024038461536,0.3805603024183108,0.8270357572115384,
AVGO,2026-04-30,2026-06-29,9310000000.0,22187000000.0,87691000000.0,64907000000.0,4757580198,29317000000.0,0.33432165216498844,0.4196150899175193,0.7401785816104275,0.8751258811681772
