ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
AVY,2021-12-31,2022-03-01,,,,,75788142,,,,,
AVY,2022-12-31,2023-03-01,757100000.0,9039300000.0,2032200000.0,3102100000.0,75788142,757100000.0,0.37255191418167505,0.08375648556857279,1.5264737722665092,
AVY,2023-12-31,2024-02-29,503000000.0,8364300000.0,2127900000.0,3244300000.0,75788142,503000000.0,0.2363832886883782,0.06013653264469233,1.5246487146952394,-0.33562277110025096
AVY,2024-12-31,2025-03-01,,,,,75788142,,,,,
AVY,2025-03-31,2025-05-30,,,,,75788142,,,,,
AVY,2025-06-30,2025-08-29,189000000.0,2220500000.0,2201600000.0,3550200000.0,75788142,,,0.0851159648727764,1.6125545058139534,
AVY,2025-09-30,2025-11-29,166300000.0,2215500000.0,2211000000.0,3781100000.0,75788142,,,0.07506206273978785,1.7101311623699684,
AVY,2025-12-31,2026-03-01,166400000.0,2271200000.0,2242100000.0,3732900000.0,75788142,,,0.07326523423740754,1.6649123589491994,
AVY,2026-03-31,2026-05-30,168100000.0,2298500000.0,2300500000.0,3790100000.0,75788142,689800000.0,0.29984785916105194,0.07313465303458777,1.6475114105629212,
AVY,2026-06-30,2026-08-29,204100000.0,2462900000.0,2322800000.0,3678200000.0,75788142,704900000.0,0.3034699500602721,0.08286978764870681,1.5835198897881866,0.07989417989417989
