ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
AWK,2021-12-31,2022-03-01,,,,,198728989,,,,,
AWK,2022-12-31,2023-03-01,820000000.0,3792000000.0,7693000000.0,12452000000.0,198728989,820000000.0,0.1065904068633823,0.21624472573839662,1.618614324710776,
AWK,2023-12-31,2024-02-29,944000000.0,4234000000.0,9797000000.0,12442000000.0,198728989,944000000.0,0.09635602735531285,0.22295701464336326,1.2699806063080534,0.15121951219512195
AWK,2024-12-31,2025-03-01,,,,,198728989,,,,,
AWK,2025-03-31,2025-05-30,,,,,198728989,,,,,
AWK,2025-06-30,2025-08-29,289000000.0,1276000000.0,10682000000.0,15063000000.0,198728989,,,0.22648902821316613,1.410129189290395,
AWK,2025-09-30,2025-11-29,379000000.0,1451000000.0,10907000000.0,15371000000.0,198728989,,,0.26119917298414885,1.4092784450352984,
AWK,2025-12-31,2026-03-01,238000000.0,1271000000.0,10837000000.0,15918000000.0,198728989,,,0.1872541306058222,1.468856694657193,
AWK,2026-03-31,2026-05-30,196000000.0,1207000000.0,11037000000.0,15698000000.0,198728989,1102000000.0,0.09984597263749208,0.1623860811930406,1.4223067862643834,
AWK,2026-06-30,2026-08-29,315000000.0,1355000000.0,11665000000.0,16058000000.0,198728989,1128000000.0,0.09669952850407201,0.23247232472324722,1.376596656665238,0.08996539792387544
