ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
AXON,2021-12-31,2022-03-01,,,,,81237415,,,,,
AXON,2022-12-31,2023-03-01,146930000.0,1187143000.0,1268491000.0,711110000.0,81237415,146930000.0,0.11583054195891024,0.12376773480532674,0.5605952269271126,
AXON,2023-12-31,2024-02-29,175783000.0,1560699000.0,1615765000.0,710663000.0,81237415,175783000.0,0.10879242959217461,0.1126309429300589,0.4398306684449781,0.1963724222418839
AXON,2024-12-31,2025-03-01,,,,,81237415,,,,,
AXON,2025-03-31,2025-05-30,,,,,81237415,,,,,
AXON,2025-06-30,2025-08-29,36117000.0,668538000.0,2732400000.0,2051460000.0,81237415,,,0.05402385503890579,0.7507905138339921,
AXON,2025-09-30,2025-11-29,-2186000.0,710641000.0,3027750000.0,2099135000.0,81237415,,,-0.003076096087898109,0.6932986541160928,
AXON,2025-12-31,2026-03-01,2745000.0,796724000.0,3242658000.0,1909664000.0,81237415,,,0.0034453587440569132,0.5889193371610574,
AXON,2026-03-31,2026-05-30,169312000.0,807345000.0,3534113000.0,1828169000.0,81237415,205988000.0,0.0582856292370957,0.20971455821241228,0.517292174868206,
AXON,2026-06-30,2026-08-29,29427000.0,904389000.0,3674537000.0,1833475000.0,81237415,199298000.0,0.05423758149666203,0.032537989736717274,0.4989676250368414,-0.18523133150593904
