ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
BALL,2021-12-31,2022-03-01,,,,,264703357,,,,,
BALL,2022-12-31,2023-03-01,719000000.0,13372000000.0,3461000000.0,8948000000.0,264703357,719000000.0,0.20774342675527305,0.05376906969787616,2.58537994799191,
BALL,2023-12-31,2024-02-29,707000000.0,12062000000.0,3769000000.0,8569000000.0,264703357,707000000.0,0.1875829132395861,0.05861382855247886,2.2735473600424516,-0.016689847009735744
BALL,2024-12-31,2025-03-01,,,,,264703357,,,,,
BALL,2025-03-31,2025-05-30,,,,,264703357,,,,,
BALL,2025-06-30,2025-08-29,212000000.0,3338000000.0,5206000000.0,7027000000.0,264703357,,,0.06351108448172559,1.3497887053399924,
BALL,2025-09-30,2025-11-29,321000000.0,3379000000.0,5446000000.0,7208000000.0,264703357,,,0.0949985202722699,1.3235402130003673,
BALL,2025-12-31,2026-03-01,200000000.0,3347000000.0,5421000000.0,7012000000.0,264703357,,,0.05975500448162534,1.2934882862940418,
BALL,2026-03-31,2026-05-30,205000000.0,3603000000.0,5600000000.0,7807000000.0,264703357,938000000.0,0.1675,0.0568970302525673,1.3941071428571428,
BALL,2026-06-30,2026-08-29,221000000.0,3997000000.0,5746000000.0,7220000000.0,264703357,947000000.0,0.1648103028193526,0.05529146860145109,1.2565262791507135,0.04245283018867924
