ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
BAX,2021-12-31,2022-03-01,,,,,516995999,,,,,
BAX,2022-12-31,2023-03-01,-2433000000.0,10057000000.0,5833000000.0,17203000000.0,516995999,-2433000000.0,-0.4171095491170924,-0.24192105001491498,2.9492542430996056,
BAX,2023-12-31,2024-02-29,2656000000.0,10360000000.0,8402000000.0,14113000000.0,516995999,2656000000.0,0.31611521066412757,0.25637065637065637,1.6797191144965484,2.0916563912864774
BAX,2024-12-31,2025-03-01,,,,,516995999,,,,,
BAX,2025-03-31,2025-05-30,,,,,516995999,,,,,
BAX,2025-06-30,2025-08-29,91000000.0,2810000000.0,7320000000.0,9725000000.0,516995999,,,0.03238434163701068,1.328551912568306,
BAX,2025-09-30,2025-11-29,-46000000.0,2835000000.0,7241000000.0,9712000000.0,516995999,,,-0.016225749559082892,1.3412512083966304,
BAX,2025-12-31,2026-03-01,-1128000000.0,2974000000.0,6129000000.0,9780000000.0,516995999,,,-0.3792871553463349,1.595692608908468,
BAX,2026-03-31,2026-05-30,-15000000.0,2701000000.0,6043000000.0,9687000000.0,516995999,-1098000000.0,-0.1816978322025484,-0.0055534987041836355,1.6030117491312261,
BAX,2026-06-30,2026-08-29,126000000.0,2960000000.0,6206000000.0,9667000000.0,516995999,-1063000000.0,-0.17128585240090236,0.04256756756756757,1.55768611021592,0.38461538461538464
