ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
BDX,2021-09-30,2021-11-29,,,,,272386800,,,,,
BDX,2022-09-30,2022-11-29,1779000000.0,18870000000.0,25282000000.0,16065000000.0,272386800,1779000000.0,0.07036626849141682,0.09427662957074721,0.6354323233921367,
BDX,2023-09-30,2023-11-29,1484000000.0,19372000000.0,25797000000.0,15879000000.0,272386800,1484000000.0,0.05752606892274295,0.07660540986991535,0.6155366903128271,-0.16582349634626195
BDX,2024-09-30,2024-11-29,1705000000.0,20178000000.0,25889000000.0,20110000000.0,272386800,1705000000.0,0.06585808644598092,0.08449796808405194,0.7767777820696049,0.14892183288409702
BDX,2024-12-31,2025-03-01,,,,,272386800,,,,,
BDX,2025-03-31,2025-05-30,,,,,272386800,,,,,
BDX,2025-06-30,2025-08-29,574000000.0,4726000000.0,25473000000.0,19341000000.0,272386800,,,0.12145577655522641,0.7592745259686727,
BDX,2025-09-30,2025-11-29,493000000.0,5891000000.0,25390000000.0,19181000000.0,272386800,,,0.08368698013919539,0.7554549035053171,
BDX,2025-12-31,2026-03-01,382000000.0,5252000000.0,25282000000.0,19539000000.0,272386800,,,0.07273419649657273,0.7728423384225932,
BDX,2026-03-31,2026-05-30,-311000000.0,4714000000.0,24132000000.0,17279000000.0,272386800,1138000000.0,0.04715730150837063,-0.0659736953754773,0.7160202221117189,
BDX,2026-06-30,2026-08-29,377000000.0,4983000000.0,24416000000.0,16808000000.0,272386800,941000000.0,0.03854030144167759,0.07565723459763195,0.6884010484927916,-0.343205574912892
