ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
BR,2022-06-30,2022-08-29,,,,,114021798,,,,,
BR,2023-06-30,2023-08-29,630600000.0,6060900000.0,2240600000.0,3652600000.0,114021798,630600000.0,0.2814424707667589,0.1040439538682374,1.6301883424082835,
BR,2024-06-30,2024-08-29,698100000.0,6506800000.0,2168300000.0,3576900000.0,114021798,698100000.0,0.3219572937324171,0.10728776049671113,1.6496333533182677,0.10704091341579448
BR,2024-12-31,2025-03-01,,,,,114021798,,,,,
BR,2025-03-31,2025-05-30,,,,,114021798,,,,,
BR,2025-06-30,2025-08-29,374200000.0,2065400000.0,2655200000.0,3459000000.0,114021798,,,0.18117555921371162,1.3027267249171437,
BR,2025-09-30,2025-11-29,165400000.0,1589400000.0,2635200000.0,3480000000.0,114021798,,,0.10406442682773373,1.3205828779599271,
BR,2025-12-31,2026-03-01,284600000.0,1713900000.0,2879400000.0,3363000000.0,114021798,,,0.16605402882315187,1.167951656595124,
BR,2026-03-31,2026-05-30,276300000.0,1953600000.0,2818800000.0,3407300000.0,114021798,1100500000.0,0.39041436072087415,0.14143120393120392,1.2087767844472825,
BR,2026-06-30,2026-08-29,398100000.0,2219900000.0,2840600000.0,3517600000.0,114021798,1124400000.0,0.39583186650707597,0.1793324023604667,1.2383299302964164,0.06386958845537145
