ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
BRO,2021-12-31,2022-03-01,,,,,334610357,,,,,
BRO,2022-12-31,2023-03-01,672000000.0,3563000000.0,4606600000.0,4183000000.0,334610357,672000000.0,0.14587765380106804,0.18860510805500982,0.9080449789432553,
BRO,2023-12-31,2024-02-29,871000000.0,4199000000.0,5579000000.0,4020000000.0,334610357,871000000.0,0.15612116866822012,0.20743034055727555,0.7205592400071698,0.2961309523809524
BRO,2024-12-31,2025-03-01,,,,,334610357,,,,,
BRO,2025-03-31,2025-05-30,,,,,334610357,,,,,
BRO,2025-06-30,2025-08-29,231000000.0,1249000000.0,11594000000.0,7731000000.0,334610357,,,0.18494795836669337,0.6668104191823357,
BRO,2025-09-30,2025-11-29,227000000.0,1550000000.0,12386000000.0,7971000000.0,334610357,,,0.1464516129032258,0.6435491684159534,
BRO,2025-12-31,2026-03-01,264000000.0,1580000000.0,12547000000.0,7918000000.0,334610357,,,0.1670886075949367,0.6310671873754682,
BRO,2026-03-31,2026-05-30,426000000.0,1880000000.0,12589000000.0,8060000000.0,334610357,1148000000.0,0.09119072205894034,0.22659574468085106,0.640241480657717,
BRO,2026-06-30,2026-08-29,288000000.0,1654000000.0,12583000000.0,8007000000.0,334610357,1205000000.0,0.0957641262020186,0.17412333736396615,0.6363347373440356,0.24675324675324675
