ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
CB,2021-12-31,2022-03-01,,,,,385799859,,,,,
CB,2022-12-31,2023-03-01,5246000000.0,43055000000.0,50519000000.0,14877000000.0,385799859,5246000000.0,0.10384211880678557,0.12184415282777843,0.29448326372255984,
CB,2023-12-31,2024-02-29,9028000000.0,49826000000.0,59507000000.0,14495000000.0,385799859,9028000000.0,0.15171324382005477,0.18119054308995303,0.24358478834422842,0.7209302325581395
CB,2024-12-31,2025-03-01,,,,,385799859,,,,,
CB,2025-03-31,2025-05-30,,,,,385799859,,,,,
CB,2025-06-30,2025-08-29,2968000000.0,14881000000.0,69395000000.0,14976000000.0,385799859,,,0.19944896176332236,0.2158080553353988,
CB,2025-09-30,2025-11-29,2801000000.0,16200000000.0,71855000000.0,17226000000.0,385799859,,,0.17290123456790124,0.2397327952125809,
CB,2025-12-31,2026-03-01,3210000000.0,15303000000.0,73757000000.0,17227000000.0,385799859,,,0.20976279160948832,0.2335642718657212,
CB,2026-03-31,2026-05-30,2320000000.0,14815000000.0,73788000000.0,17470000000.0,385799859,11299000000.0,0.15312787987206591,0.15659804252446843,0.2367593646663414,
CB,2026-06-30,2026-08-29,2854000000.0,15959000000.0,75372000000.0,18115000000.0,385799859,11185000000.0,0.1483972828105928,0.17883326022933768,0.24034124077906915,-0.03840970350404313
