ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
CIEN,2021-10-31,2021-12-30,,,,,141552922,,,,,
CIEN,2022-10-31,2022-12-30,152902000.0,3632661000.0,2712861000.0,1186306000.0,141552922,152902000.0,0.056361899854065506,0.04209090801481338,0.437289636291723,
CIEN,2023-10-31,2023-12-30,254827000.0,4386549000.0,2848361000.0,1657165000.0,141552922,254827000.0,0.08946443235250026,0.05809281966301984,0.5817959872361684,0.6666034453440766
CIEN,2024-10-31,2024-12-30,83956000.0,4014955000.0,2816138000.0,1632253000.0,141552922,83956000.0,0.029812459474642224,0.020910819672947768,0.5796068942644146,-0.6705372664592056
CIEN,2025-01-31,2025-04-01,,,,,141552922,,,,,
CIEN,2025-04-30,2025-06-29,8969000.0,1125878000.0,2776379000.0,1588629000.0,141552922,,,0.007966227246646617,0.5721945742998344,
CIEN,2025-07-31,2025-09-29,50308000.0,1219385000.0,2787301000.0,1587239000.0,141552922,,,0.04125686309082037,0.5694537475500493,
CIEN,2025-10-31,2025-12-30,19489000.0,1351984000.0,2729323000.0,1625554000.0,141552922,,,0.01441511142143694,0.5955887229177346,
CIEN,2026-01-31,2026-04-01,150283000.0,1427042000.0,2792358000.0,1588665000.0,141552922,229049000.0,0.08202708964967959,0.10531084579150439,0.5689331382294104,
CIEN,2026-04-30,2026-06-29,218220000.0,1570739000.0,2892225000.0,1580580000.0,141552922,438300000.0,0.15154422633093897,0.1389282369636203,0.5464927521199077,23.330471624484336
