ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
CPAY,2021-12-31,2022-03-01,,,,,65659599,,,,,
CPAY,2022-12-31,2023-03-01,954327000.0,3427129000.0,2541493000.0,7036894000.0,65659599,954327000.0,0.3754985750501772,0.27846252650542186,2.7688032192101257,
CPAY,2023-12-31,2024-02-29,981890000.0,3757719000.0,3282359000.0,6722905000.0,65659599,981890000.0,0.2991415625164706,0.26129947449503277,2.0481930830844526,0.028882133692120206
CPAY,2024-12-31,2025-03-01,,,,,65659599,,,,,
CPAY,2025-03-31,2025-05-30,243233000.0,1005667000.0,3453836000.0,8171403000.0,65659599,,,0.24186236597203647,2.365892011085645,
CPAY,2025-06-30,2025-08-29,284168000.0,1102030000.0,3928573000.0,8117700000.0,65659599,,,0.25785867898333076,2.0663228098345123,
CPAY,2025-09-30,2025-11-29,277941000.0,1172480000.0,4075691000.0,8122952000.0,65659599,,,0.23705393695414848,1.9930244957235472,
CPAY,2025-12-31,2026-03-01,264484000.0,1248226000.0,3883864000.0,10001687000.0,65659599,1069826000.0,0.2754540323760049,0.21188791132375068,2.5751898109717537,
CPAY,2026-03-31,2026-05-30,350066000.0,1260987000.0,3510128000.0,10360640000.0,65659599,1176659000.0,0.3352182598469344,0.27761269545205464,2.9516416495352877,0.43922082941048296
CPAY,2026-06-30,2026-08-29,,,,,65659599,,,,,
