ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
CRL,2021-12-31,2022-03-01,,,,,48167730,,,,,
CRL,2022-12-31,2023-03-01,486226000.0,3976060000.0,2976293000.0,3097276000.0,48167730,486226000.0,0.1633663083574097,0.12228839605036142,1.0406488877271156,
CRL,2023-12-31,2024-02-29,474624000.0,4129409000.0,3596882000.0,3066381000.0,48167730,474624000.0,0.1319542870741937,0.11493751284990177,0.8525108691361017,-0.02386133197319765
CRL,2024-12-31,2025-03-01,,,,,48167730,,,,,
CRL,2025-03-31,2025-05-30,,,,,48167730,,,,,
CRL,2025-06-30,2025-08-29,52326000.0,1032135000.0,3353321000.0,2786038000.0,48167730,,,0.050696856515862754,0.8308294970866195,
CRL,2025-09-30,2025-11-29,54422000.0,1004852000.0,3405449000.0,2628638000.0,48167730,,,0.05415921946714541,0.7718917534809654,
CRL,2025-12-31,2026-03-01,-276555000.0,994227000.0,3164630000.0,2570408000.0,48167730,,,-0.27816082242787615,0.8122301817274057,
CRL,2026-03-31,2026-05-30,-14843000.0,995830000.0,2940594000.0,3056246000.0,48167730,-184650000.0,-0.0627934356119886,-0.014905154494240985,1.0393294688080028,
CRL,2026-06-30,2026-08-29,-1482000.0,1004078000.0,2839636000.0,3027693000.0,48167730,-238458000.0,-0.08397484748045173,-0.0014759809496871757,1.0662257416091359,-1.028322440087146
