ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
CTSH,2021-12-31,2022-03-01,,,,,450444209,,,,,
CTSH,2022-12-31,2023-03-01,2290000000.0,19428000000.0,12309000000.0,1534000000.0,450444209,2290000000.0,0.18604273295962304,0.11787111385628989,0.12462425867251604,
CTSH,2023-12-31,2024-02-29,2126000000.0,19353000000.0,13227000000.0,1315000000.0,450444209,2126000000.0,0.16073183639525213,0.10985376944143027,0.09941785741286761,-0.07161572052401746
CTSH,2024-12-31,2025-03-01,,,,,450444209,,,,,
CTSH,2025-03-31,2025-05-30,,,,,450444209,,,,,
CTSH,2025-06-30,2025-08-29,645000000.0,5245000000.0,15288000000.0,1177000000.0,450444209,,,0.12297426120114395,0.07698848770277342,
CTSH,2025-09-30,2025-11-29,274000000.0,5415000000.0,14897000000.0,1170000000.0,450444209,,,0.05060018467220683,0.0785393032154125,
CTSH,2025-12-31,2026-03-01,648000000.0,5333000000.0,15015000000.0,1152000000.0,450444209,,,0.12150759422463904,0.07672327672327672,
CTSH,2026-03-31,2026-05-30,662000000.0,5413000000.0,15068000000.0,1092000000.0,450444209,2229000000.0,0.14792938677993098,0.12229817106964715,0.07247146270241571,
CTSH,2026-06-30,2026-08-29,636000000.0,5481000000.0,14462000000.0,2094000000.0,450444209,2220000000.0,0.15350573917853685,0.11603721948549535,0.1447932512792145,-0.013953488372093023
