ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
DD,2021-12-31,2022-03-01,,,,,135042975,,,,,
DD,2022-12-31,2023-03-01,5868000000.0,13017000000.0,26569000000.0,8074000000.0,135042975,5868000000.0,0.22085889570552147,0.4507951140815856,0.3038879897625052,
DD,2023-12-31,2024-02-29,423000000.0,6614000000.0,24279000000.0,7800000000.0,135042975,423000000.0,0.017422463857654762,0.06395524644693075,0.3212652909922155,-0.9279141104294478
DD,2024-12-31,2025-03-01,,,,,135042975,,,,,
DD,2025-03-31,2025-05-30,-589000000.0,1612000000.0,22834000000.0,7174000000.0,135042975,,,-0.36538461538461536,0.31418060786546376,
DD,2025-06-30,2025-08-29,59000000.0,1749000000.0,23064000000.0,7175000000.0,135042975,,,0.033733562035448826,0.3110908775580992,
DD,2025-09-30,2025-11-29,-123000000.0,3072000000.0,22894000000.0,8899000000.0,135042975,,,-0.0400390625,0.3887044640517166,
DD,2025-12-31,2026-03-01,-126000000.0,-1871000000.0,13919000000.0,3194000000.0,135042975,-779000000.0,-0.05596666427185861,0.06734366648850881,0.2294705079387887,
DD,2026-03-31,2026-05-30,161000000.0,1681000000.0,14040000000.0,3172000000.0,135042975,-29000000.0,-0.0020655270655270657,0.09577632361689471,0.22592592592592592,1.2733446519524618
DD,2026-06-30,2026-08-29,,,,,135042975,,,,,
