ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
DGX,2021-12-31,2022-03-01,,,,,110373360,,,,,
DGX,2022-12-31,2023-03-01,946000000.0,9883000000.0,5893000000.0,4714000000.0,110373360,946000000.0,0.16052944171050398,0.09571992310027319,0.7999321228576277,
DGX,2023-12-31,2024-02-29,854000000.0,9252000000.0,6307000000.0,5498000000.0,110373360,854000000.0,0.13540510543840178,0.09230436662343278,0.8717298240050737,-0.09725158562367865
DGX,2024-12-31,2025-03-01,,,,,110373360,,,,,
DGX,2025-03-31,2025-05-30,,,,,110373360,,,,,
DGX,2025-06-30,2025-08-29,282000000.0,2761000000.0,7228000000.0,6384000000.0,110373360,,,0.10213690691778342,0.8832318760376314,
DGX,2025-09-30,2025-11-29,245000000.0,2816000000.0,7258000000.0,6382000000.0,110373360,,,0.08700284090909091,0.8793055938275007,
DGX,2025-12-31,2026-03-01,245000000.0,2806000000.0,7170000000.0,6585000000.0,110373360,,,0.08731290092658589,0.9184100418410042,
DGX,2026-03-31,2026-05-30,252000000.0,2895000000.0,7366000000.0,6406000000.0,110373360,1024000000.0,0.13901710562041814,0.08704663212435233,0.869671463480858,
DGX,2026-06-30,2026-08-29,320000000.0,3043000000.0,7516000000.0,6383000000.0,110373360,1062000000.0,0.14129856306546035,0.10515938218862964,0.8492549228312932,0.1347517730496454
