ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
DUK,2021-12-31,2022-03-01,,,,,779702193,,,,,
DUK,2022-12-31,2023-03-01,2550000000.0,28768000000.0,49322000000.0,74579000000.0,779702193,2550000000.0,0.051701066461214064,0.08864015572858731,1.5120838571023072,
DUK,2023-12-31,2024-02-29,2841000000.0,29060000000.0,49111000000.0,80457000000.0,779702193,2841000000.0,0.057848547168658754,0.0977632484514797,1.6382684123719737,0.11411764705882353
DUK,2024-12-31,2025-03-01,,,,,779702193,,,,,
DUK,2025-03-31,2025-05-30,1379000000.0,8249000000.0,50670000000.0,87481000000.0,779702193,,,0.1671717783973815,1.7264850996644958,
DUK,2025-06-30,2025-08-29,984000000.0,7508000000.0,50891000000.0,88453000000.0,779702193,,,0.13106020245071923,1.7380872845886306,
DUK,2025-09-30,2025-11-29,1421000000.0,8542000000.0,51462000000.0,89647000000.0,779702193,,,0.16635448372746428,1.742003808635498,
DUK,2025-12-31,2026-03-01,1184000000.0,7938000000.0,51842000000.0,90869000000.0,779702193,4968000000.0,0.09582963620230701,0.1491559586797682,1.7528066046834614,
DUK,2026-03-31,2026-05-30,1550000000.0,9178000000.0,54457000000.0,91209000000.0,779702193,5139000000.0,0.09436803349431662,0.16888210939202442,1.674881098848633,0.12400290065264685
DUK,2026-06-30,2026-08-29,,,,,779702193,,,,,
