ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
DVA,2021-12-31,2022-03-01,,,,,63800000,,,,,
DVA,2022-12-31,2023-03-01,560400000.0,11609894000.0,712326000.0,11822490000.0,63800000,560400000.0,0.7867184407139428,0.04826917455060313,16.597021588430017,
DVA,2023-12-31,2024-02-29,691535000.0,12140147000.0,1056097000.0,11116421000.0,63800000,691535000.0,0.6548025418119737,0.05696265457082192,10.525946953736257,0.23400249821556032
DVA,2024-12-31,2025-03-01,,,,,63800000,,,,,
DVA,2025-03-31,2025-05-30,162917000.0,3223529000.0,-267101000.0,12320338000.0,63800000,,,0.0505399517113077,-46.1261395502076,
DVA,2025-06-30,2025-08-29,199337000.0,3379526000.0,-369633000.0,12815374000.0,63800000,,,0.05898371546779045,-34.67053536886588,
DVA,2025-09-30,2025-11-29,150332000.0,3420227000.0,-571874000.0,12778330000.0,63800000,,,0.043953807744339775,-22.344659837656547,
DVA,2025-12-31,2026-03-01,234217000.0,3619787000.0,-651082000.0,12874331000.0,63800000,746803000.0,-1.1470183479193097,0.06470463593576085,-19.77374739280152,
DVA,2026-03-31,2026-05-30,197530000.0,3415548000.0,-755496000.0,13220841000.0,63800000,781416000.0,-1.0343085866768322,0.057832593774117654,-17.49955128816036,0.21245787732403618
DVA,2026-06-30,2026-08-29,,,,,63800000,,,,,
