ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
EA,2022-03-31,2022-05-30,,,,,252387410,,,,,
EA,2023-03-31,2023-05-30,802000000.0,7426000000.0,7293000000.0,1946000000.0,252387410,802000000.0,0.10996846290963938,0.10799892270401293,0.2668312080076786,
EA,2024-03-31,2024-05-30,1273000000.0,7562000000.0,7513000000.0,1948000000.0,252387410,1273000000.0,0.16943963796086783,0.16834170854271358,0.2592839078929855,0.587281795511222
EA,2024-12-31,2025-03-01,,,,,252387410,,,,,
EA,2025-03-31,2025-05-30,254000000.0,1895000000.0,6386000000.0,1951000000.0,252387410,,,0.13403693931398417,0.305512057626057,
EA,2025-06-30,2025-08-29,201000000.0,1671000000.0,6082000000.0,1953000000.0,252387410,,,0.12028725314183124,0.32111147648799737,
EA,2025-09-30,2025-11-29,137000000.0,1839000000.0,6000000000.0,1951000000.0,252387410,,,0.07449700924415444,0.32516666666666666,
EA,2025-12-31,2026-03-01,88000000.0,1901000000.0,6152000000.0,1950000000.0,252387410,680000000.0,0.11053315994798439,0.046291425565491845,0.31697009102730817,
EA,2026-03-31,2026-05-30,461000000.0,2120000000.0,6764000000.0,1548000000.0,252387410,887000000.0,0.13113542282672974,0.21745283018867925,0.22885866351271436,0.8149606299212598
EA,2026-06-30,2026-08-29,,,,,252387410,,,,,
