ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
EIX,2021-12-31,2022-03-01,,,,,384813979,,,,,
EIX,2022-12-31,2023-03-01,824000000.0,17220000000.0,15621000000.0,33096000000.0,384813979,824000000.0,0.05274950387299149,0.0478513356562137,2.118686383714231,
EIX,2023-12-31,2024-02-29,1407000000.0,16338000000.0,15501000000.0,35311000000.0,384813979,1407000000.0,0.09076833752661119,0.08611825192802057,2.277982065673182,0.7075242718446602
EIX,2024-12-31,2025-03-01,,,,,384813979,,,,,
EIX,2025-03-31,2025-05-30,,,,,384813979,,,,,
EIX,2025-06-30,2025-08-29,398000000.0,4543000000.0,16686000000.0,39526000000.0,384813979,,,0.087607307946291,2.3688121778736666,
EIX,2025-09-30,2025-11-29,888000000.0,5750000000.0,17155000000.0,39437000000.0,384813979,,,0.15443478260869564,2.2988633051588456,
EIX,2025-12-31,2026-03-01,1923000000.0,5213000000.0,17579000000.0,41549000000.0,384813979,,,0.3688854786111644,2.3635587917401444,
EIX,2026-03-31,2026-05-30,570000000.0,4103000000.0,17320000000.0,42697000000.0,384813979,3779000000.0,0.21818706697459583,0.1389227394589325,2.4651847575057735,
EIX,2026-06-30,2026-08-29,561000000.0,4357000000.0,17529000000.0,43540000000.0,384813979,3942000000.0,0.22488447715214788,0.12875831994491624,2.4838838496206286,0.40954773869346733
