ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
ESS,2021-12-31,2022-03-01,,,,,64268439,,,,,
ESS,2022-12-31,2023-03-01,408315000.0,1606814000.0,5716372000.0,6026880000.0,64268439,408315000.0,0.07142904625521222,0.2541146641739492,1.0543190681082337,
ESS,2023-12-31,2024-02-29,405825000.0,1669395000.0,5422746000.0,6270826000.0,64268439,405825000.0,0.07483754540596221,0.24309705012893892,1.156393089405257,-0.006098232981888983
ESS,2024-12-31,2025-03-01,,,,,64268439,,,,,
ESS,2025-03-31,2025-05-30,,,,,64268439,,,,,
ESS,2025-06-30,2025-08-29,221362000.0,469833000.0,5635249000.0,6812720000.0,64268439,,,0.47115038747810395,1.208947466207793,
ESS,2025-09-30,2025-11-29,164621000.0,473303000.0,5631316000.0,6714314000.0,64268439,,,0.34781313450369,1.192317035662712,
ESS,2025-12-31,2026-03-01,80573000.0,479626000.0,5541372000.0,6851756000.0,64268439,,,0.16799130989562702,1.2364728446312574,
ESS,2026-03-31,2026-05-30,106186000.0,484756000.0,5435587000.0,6857027000.0,64268439,572742000.0,0.1053689325550304,0.2190504088654911,1.2615062549822127,
ESS,2026-06-30,2026-08-29,62462000.0,489049000.0,5323073000.0,6748253000.0,64268439,413842000.0,0.07774494169063621,0.12772135307504973,1.2677363244877535,-0.7178287149555931
