ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
ETR,2021-12-31,2022-03-01,,,,,466631498,,,,,
ETR,2022-12-31,2023-03-01,1097138000.0,13764237000.0,13001985000.0,26760170000.0,466631498,1097138000.0,0.0843823462340558,0.07970932206412895,2.058160350131153,
ETR,2023-12-31,2024-02-29,2362310000.0,12147412000.0,14657647000.0,26246067000.0,466631498,2362310000.0,0.16116570415428888,0.19447022954354393,1.7906057500224968,1.153156667620664
ETR,2024-12-31,2025-03-01,,,,,466631498,,,,,
ETR,2025-03-31,2025-05-30,362422000.0,2846874000.0,15185311000.0,30924976000.0,466631498,,,0.12730524779108593,2.03650593655935,
ETR,2025-06-30,2025-08-29,471954000.0,3328849000.0,16213000000.0,30405443000.0,466631498,,,0.14177693250730208,1.8753742675630667,
ETR,2025-09-30,2025-11-29,698424000.0,3812019000.0,16661702000.0,30448153000.0,466631498,,,0.18321629561657485,1.8274335359016745,
ETR,2025-12-31,2026-03-01,240528000.0,2958944000.0,16958076000.0,30934935000.0,466631498,1773328000.0,0.10457129688533062,0.0812884596666919,1.8242007524910255,
ETR,2026-03-31,2026-05-30,390805000.0,3187626000.0,17346741000.0,34058443000.0,466631498,1801711000.0,0.10386452417776919,0.12260064386474448,1.963391452031249,0.07831478221520768
ETR,2026-06-30,2026-08-29,,,,,466631498,,,,,
