ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
EXPE,2021-12-31,2022-03-01,,,,,114498625,,,,,
EXPE,2022-12-31,2023-03-01,352000000.0,11667000000.0,2283000000.0,6552000000.0,114498625,352000000.0,0.15418309242225142,0.03017056655524128,2.8699080157687256,
EXPE,2023-12-31,2024-02-29,797000000.0,12839000000.0,1534000000.0,6567000000.0,114498625,797000000.0,0.5195567144719687,0.062076485707609624,4.28096479791395,1.2642045454545454
EXPE,2024-12-31,2025-03-01,,,,,114498625,,,,,
EXPE,2025-03-31,2025-05-30,,,,,114498625,,,,,
EXPE,2025-06-30,2025-08-29,330000000.0,3786000000.0,836000000.0,6482000000.0,114498625,,,0.08716323296354993,7.753588516746412,
EXPE,2025-09-30,2025-11-29,959000000.0,4412000000.0,1337000000.0,6478000000.0,114498625,,,0.21736174070716227,4.845175766641735,
EXPE,2025-12-31,2026-03-01,205000000.0,3547000000.0,1284000000.0,6415000000.0,114498625,,,0.057795319988722865,4.996105919003115,
EXPE,2026-03-31,2026-05-30,-6000000.0,3426000000.0,576000000.0,4706000000.0,114498625,1488000000.0,2.5833333333333335,-0.0017513134851138354,8.17013888888889,
EXPE,2026-06-30,2026-08-29,878000000.0,4315000000.0,1209000000.0,5685000000.0,114498625,2036000000.0,1.684036393713813,0.20347624565469294,4.702233250620347,1.6606060606060606
