ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
FIS,2021-12-31,2022-03-01,,,,,515705917,,,,,
FIS,2022-12-31,2023-03-01,-16752000000.0,9720000000.0,27218000000.0,20409000000.0,515705917,-16752000000.0,-0.615475053273569,-1.7234567901234568,0.7498346682342567,
FIS,2023-12-31,2024-02-29,-6655000000.0,9831000000.0,19050000000.0,19341000000.0,515705917,-6655000000.0,-0.3493438320209974,-0.6769402909164887,1.015275590551181,0.6027340019102196
FIS,2024-12-31,2025-03-01,,,,,515705917,,,,,
FIS,2025-03-31,2025-05-30,,,,,515705917,,,,,
FIS,2025-06-30,2025-08-29,-470000000.0,2616000000.0,14168000000.0,12972000000.0,515705917,,,-0.17966360856269112,0.9155844155844156,
FIS,2025-09-30,2025-11-29,264000000.0,2717000000.0,13859000000.0,13068000000.0,515705917,,,0.09716599190283401,0.9429251749765495,
FIS,2025-12-31,2026-03-01,510000000.0,2812000000.0,13899000000.0,13331000000.0,515705917,,,0.1813655761024182,0.9591337506295416,
FIS,2026-03-31,2026-05-30,2366000000.0,3295000000.0,15977000000.0,21146000000.0,515705917,2670000000.0,0.1671152281404519,0.7180576631259484,1.3235275708831444,
FIS,2026-06-30,2026-08-29,231000000.0,3377000000.0,16038000000.0,21256000000.0,515705917,3371000000.0,0.21018830278089537,0.06840390879478828,1.3253522883152513,1.4914893617021276
