ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
FISV,2021-12-31,2022-03-01,,,,,531766721,,,,,
FISV,2022-12-31,2023-03-01,2530000000.0,17737000000.0,30828000000.0,21542000000.0,531766721,2530000000.0,0.08206824964318152,0.14263967976546202,0.6987803295705203,
FISV,2023-12-31,2024-02-29,3068000000.0,19093000000.0,29857000000.0,23236000000.0,531766721,3068000000.0,0.10275647251900727,0.1606871628345467,0.778242958100278,0.2126482213438735
FISV,2024-12-31,2025-03-01,,,,,531766721,,,,,
FISV,2025-03-31,2025-05-30,,,,,531766721,,,,,
FISV,2025-06-30,2025-08-29,1026000000.0,5516000000.0,25215000000.0,29706000000.0,531766721,,,0.18600435097897028,1.178108268887567,
FISV,2025-09-30,2025-11-29,792000000.0,5263000000.0,25121000000.0,30319000000.0,531766721,,,0.15048451453543607,1.2069185143903507,
FISV,2025-12-31,2026-03-01,811000000.0,5284000000.0,25792000000.0,29123000000.0,531766721,,,0.15348221044663135,1.1291485732009925,
FISV,2026-03-31,2026-05-30,571000000.0,5027000000.0,26201000000.0,29307000000.0,531766721,3200000000.0,0.12213274302507537,0.11358663218619455,1.1185450936987138,
FISV,2026-06-30,2026-08-29,627000000.0,5292000000.0,26904000000.0,28034000000.0,531766721,2801000000.0,0.10411091287540886,0.11848072562358276,1.0420011894142136,-0.3888888888888889
