ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
FSLR,2021-12-31,2022-03-01,,,,,107469788,,,,,
FSLR,2022-12-31,2023-03-01,-44166000.0,2619319000.0,5836055000.0,234131000.0,107469788,-44166000.0,-0.007567783374214259,-0.01686163464625729,0.04011802493293843,
FSLR,2023-12-31,2024-02-29,830777000.0,3318602000.0,6687469000.0,624389000.0,107469788,830777000.0,0.12422891231346268,0.2503394501660639,0.09336701224334647,19.810329212516415
FSLR,2024-12-31,2025-03-01,,,,,107469788,,,,,
FSLR,2025-03-31,2025-05-30,,,,,107469788,,,,,
FSLR,2025-06-30,2025-08-29,341868000.0,1097170000.0,8546130000.0,1067070000.0,107469788,,,0.3115907288751971,0.12486002436190416,
FSLR,2025-09-30,2025-11-29,455943000.0,1594856000.0,9015312000.0,891915000.0,107469788,,,0.2858834904217058,0.0989333480638274,
FSLR,2025-12-31,2026-03-01,520883000.0,1682782000.0,9537993000.0,655335000.0,107469788,,,0.3095368265170414,0.06870785080257451,
FSLR,2026-03-31,2026-05-30,346619000.0,1044240000.0,9878568000.0,587123000.0,107469788,1665313000.0,0.168578380996112,0.331934229679001,0.059434019181727554,
FSLR,2026-06-30,2026-08-29,422569000.0,1056193000.0,10320338000.0,194010000.0,107469788,1746014000.0,0.16918186206692068,0.4000869159329782,0.018798802907424157,0.2360589467279769
