ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
GE,2021-12-31,2022-03-01,,,,,1037562513,,,,,
GE,2022-12-31,2023-03-01,336000000.0,29139000000.0,33696000000.0,26148000000.0,1037562513,336000000.0,0.009971509971509971,0.011530937918253886,0.7759971509971509,
GE,2023-12-31,2024-02-29,9482000000.0,35348000000.0,27403000000.0,20525000000.0,1037562513,9482000000.0,0.34602050870342665,0.2682471426954849,0.7490055833302923,27.220238095238095
GE,2024-12-31,2025-03-01,,,,,1037562513,,,,,
GE,2025-03-31,2025-05-30,,,,,1037562513,,,,,
GE,2025-06-30,2025-08-29,2028000000.0,11022000000.0,19135000000.0,18887000000.0,1037562513,,,0.1839956450734894,0.9870394564933368,
GE,2025-09-30,2025-11-29,2157000000.0,12181000000.0,18812000000.0,20838000000.0,1037562513,,,0.17707905754864134,1.1076972145439081,
GE,2025-12-31,2026-03-01,2541000000.0,12717000000.0,18677000000.0,20495000000.0,1037562513,,,0.19981127624439726,1.09733897306848,
GE,2026-03-31,2026-05-30,1904000000.0,12392000000.0,18057000000.0,20277000000.0,1037562513,8630000000.0,0.4779309962895276,0.15364751452550032,1.1229440106329955,
GE,2026-06-30,2026-08-29,2370000000.0,13348000000.0,17640000000.0,19157000000.0,1037562513,8972000000.0,0.5086167800453515,0.1775546898411747,1.085997732426304,0.16863905325443787
