ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
GEHC,2021-12-31,2022-03-01,,,,,451686252,,,,,
GEHC,2022-12-31,2023-03-01,1916000000.0,18341000000.0,9357000000.0,8635000000.0,451686252,1916000000.0,0.2047664849845036,0.1044654053759337,0.9228385166185743,
GEHC,2023-12-31,2024-02-29,1568000000.0,19552000000.0,7133000000.0,9863000000.0,451686252,1568000000.0,0.2198233562315996,0.08019639934533551,1.3827281648675172,-0.18162839248434237
GEHC,2024-12-31,2025-03-01,,,,,451686252,,,,,
GEHC,2025-03-31,2025-05-30,,,,,451686252,,,,,
GEHC,2025-06-30,2025-08-29,486000000.0,5006000000.0,9712000000.0,10716000000.0,451686252,,,0.09708349980023971,1.1033772652388798,
GEHC,2025-09-30,2025-11-29,446000000.0,5144000000.0,9993000000.0,10744000000.0,451686252,,,0.08670295489891135,1.0751526068247774,
GEHC,2025-12-31,2026-03-01,589000000.0,5698000000.0,10379000000.0,10463000000.0,451686252,,,0.10336960336960337,1.0080932652471337,
GEHC,2026-03-31,2026-05-30,389000000.0,5131000000.0,10668000000.0,10577000000.0,451686252,1910000000.0,0.17904011998500188,0.07581368154355876,0.9914698162729659,
GEHC,2026-06-30,2026-08-29,560000000.0,5294000000.0,10975000000.0,10541000000.0,451686252,1984000000.0,0.1807744874715262,0.10578012844729882,0.9604555808656037,0.1522633744855967
