ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
GEV,2021-12-31,2022-03-01,,,,,266333581,,,,,
GEV,2022-12-31,2023-03-01,-2736000000.0,29654000000.0,10650000000.0,1144000000.0,266333581,-2736000000.0,-0.25690140845070425,-0.09226411276724894,0.10741784037558685,
GEV,2023-12-31,2024-02-29,-438000000.0,33239000000.0,7416000000.0,1157000000.0,266333581,-438000000.0,-0.05906148867313916,-0.01317729173561178,0.15601402373247034,0.8399122807017544
GEV,2024-12-31,2025-03-01,,,,1043000000.0,266333581,,,,,
GEV,2025-03-31,2025-05-30,,,,,266333581,,,,,
GEV,2025-06-30,2025-08-29,514000000.0,9111000000.0,8877000000.0,,266333581,,,0.056415322138074854,,
GEV,2025-09-30,2025-11-29,452000000.0,9969000000.0,8646000000.0,,266333581,,,0.0453405557227405,,
GEV,2025-12-31,2026-03-01,3664000000.0,10956000000.0,11178000000.0,1172000000.0,266333581,,,0.3344286235852501,0.10484881016281983,
GEV,2026-03-31,2026-05-30,4745000000.0,9338000000.0,13922000000.0,2806000000.0,266333581,9375000000.0,0.6733946272087343,0.5081387877489827,0.20155150122108892,
GEV,2026-06-30,2026-08-29,668000000.0,11104000000.0,11957000000.0,2794000000.0,266333581,9529000000.0,0.796939031529648,0.06015850144092219,0.23367065317387303,0.29961089494163423
