ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
GNRC,2021-12-31,2022-03-01,,,,,59006361,,,,,
GNRC,2022-12-31,2023-03-01,350267000.0,4564737000.0,2257381000.0,1599998000.0,59006361,350267000.0,0.15516521136662353,0.0767332269088011,0.7087850921045229,
GNRC,2023-12-31,2024-02-29,203089000.0,4022667000.0,2340252000.0,1733566000.0,59006361,203089000.0,0.08678082531282956,0.050486157566609416,0.7407603967435985,-0.42018802799007615
GNRC,2024-12-31,2025-03-01,,,,,59006361,,,,,
GNRC,2025-03-31,2025-05-30,,,,,59006361,,,,,
GNRC,2025-06-30,2025-08-29,74016000.0,1061169000.0,2570523000.0,1587004000.0,59006361,,,0.06974949324754115,0.6173856448668228,
GNRC,2025-09-30,2025-11-29,66161000.0,1114353000.0,2643748000.0,1594110000.0,59006361,,,0.059371671274721746,0.60297350579556,
GNRC,2025-12-31,2026-03-01,-24463000.0,1091504000.0,2632422000.0,1498263000.0,59006361,,,-0.02241219454990545,0.569157604669768,
GNRC,2026-03-31,2026-05-30,73253000.0,1059365000.0,2674692000.0,1487231000.0,59006361,188967000.0,0.0706500038135232,0.06914802735601044,0.5560382279529755,
GNRC,2026-06-30,2026-08-29,143244000.0,1173510000.0,2877623000.0,1513703000.0,59006361,258195000.0,0.08972509602543488,0.12206457550425646,0.5260254731074918,0.9353112840466926
