ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
GRMN,2021-12-31,2022-03-01,,,,,192852536,,,,,
GRMN,2022-12-31,2023-03-01,973585000.0,4860286000.0,6204340000.0,114541000.0,192852536,973585000.0,0.15691999471337806,0.20031434364150588,0.01846143183642418,
GRMN,2023-12-31,2024-02-29,1289636000.0,5228252000.0,7012060000.0,113035000.0,192852536,1289636000.0,0.18391685182385775,0.24666676357604797,0.016120084540063834,0.3246259956757756
GRMN,2024-12-31,2025-03-01,,,,,192852536,,,,,
GRMN,2025-03-31,2025-05-30,,,,,192852536,,,,,
GRMN,2025-06-30,2025-08-29,400822000.0,1814564000.0,8125111000.0,148608000.0,192852536,,,0.2208916301657037,0.018289965515548033,
GRMN,2025-09-30,2025-11-29,401615000.0,1770901000.0,8478241000.0,155771000.0,192852536,,,0.22678568705986388,0.01837303280244098,
GRMN,2025-12-31,2026-03-01,528681000.0,2124955000.0,8972564000.0,164835000.0,192852536,,,0.24879632745164015,0.018371002981979287,
GRMN,2026-03-31,2026-05-30,405078000.0,1753489000.0,9271024000.0,167612000.0,192852536,1736196000.0,0.18727122268262925,0.23101256979655987,0.018079124808651127,
GRMN,2026-06-30,2026-08-29,541920000.0,2022092000.0,9029013000.0,177957000.0,192852536,1877294000.0,0.20791796401223478,0.2679996755835046,0.019709463260269976,0.35202159562099883
