ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
GS,2021-12-31,2022-03-01,,,,,291171408,,,,,
GS,2022-12-31,2023-03-01,11261000000.0,47365000000.0,117189000000.0,324199000000.0,291171408,11261000000.0,0.09609263668091715,0.23774939301171752,2.766462722610484,
GS,2023-12-31,2024-02-29,8516000000.0,46254000000.0,116905000000.0,333248000000.0,291171408,8516000000.0,0.07284547281981096,0.18411380637350283,2.8505880843419873,-0.24376165527040228
GS,2024-12-31,2025-03-01,,,,,291171408,,,,,
GS,2025-03-31,2025-05-30,4738000000.0,15062000000.0,124300000000.0,360740000000.0,291171408,,,0.3145664586376311,2.902172164119067,
GS,2025-06-30,2025-08-29,3723000000.0,14583000000.0,124096000000.0,372977000000.0,291171408,,,0.25529726393746144,3.005552153171738,
GS,2025-09-30,2025-11-29,4098000000.0,15184000000.0,124402000000.0,376267000000.0,291171408,,,0.26988935721812435,3.024605713734506,
GS,2025-12-31,2026-03-01,4617000000.0,13454000000.0,124972000000.0,386150000000.0,291171408,17176000000.0,0.13743878628812853,0.3431693176750409,3.089892135838428,
GS,2026-03-31,2026-05-30,5630000000.0,17227000000.0,122782000000.0,434737000000.0,291171408,18068000000.0,0.14715512045739604,0.32681256167643813,3.5407225814858854,0.18826509075559308
GS,2026-06-30,2026-08-29,,,,,291171408,,,,,
