ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
HAS,2021-12-31,2022-03-01,,,,,141044467,,,,,
HAS,2022-12-31,2023-03-01,203500000.0,5856700000.0,2832800000.0,4006400000.0,141044467,203500000.0,0.07183705168031629,0.034746529615653866,1.414289748658571,
HAS,2023-12-31,2024-02-29,-1489300000.0,5003300000.0,1061900000.0,3496300000.0,141044467,-1489300000.0,-1.402486109803183,-0.29766354206223894,3.292494585177512,-8.318427518427518
HAS,2024-12-31,2025-03-01,,,,,141044467,,,,,
HAS,2025-03-31,2025-05-30,,,,,141044467,,,,,
HAS,2025-06-30,2025-08-29,-855800000.0,980800000.0,241100000.0,3348800000.0,141044467,,,-0.8725530179445351,13.889672335130651,
HAS,2025-09-30,2025-11-29,233200000.0,1387500000.0,406400000.0,3346300000.0,141044467,,,0.16807207207207206,8.234005905511811,
HAS,2025-12-31,2026-03-01,201600000.0,1445900000.0,538500000.0,3295500000.0,141044467,,,0.1394287295110312,6.119777158774373,
HAS,2026-03-31,2026-05-30,198400000.0,1000200000.0,648300000.0,3623300000.0,141044467,-222600000.0,-0.3433595557612217,0.1983603279344131,5.588924880456578,
HAS,2026-06-30,2026-08-29,160900000.0,1139600000.0,705200000.0,3569000000.0,141044467,794100000.0,1.1260635280771412,0.1411898911898912,5.060975609756097,1.1880112175741995
