ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
HCA,2021-12-31,2022-03-01,,,,,216501500,,,,,
HCA,2022-12-31,2023-03-01,5643000000.0,60233000000.0,-2767000000.0,40200000000.0,216501500,5643000000.0,-2.039392844235634,0.09368618531369848,-14.52837007589447,
HCA,2023-12-31,2024-02-29,5242000000.0,64968000000.0,-1774000000.0,41859000000.0,216501500,5242000000.0,-2.9549041713641486,0.0806858761236301,-23.595828635851184,-0.07106149211412369
HCA,2024-12-31,2025-03-01,,,,,216501500,,,,,
HCA,2025-03-31,2025-05-30,,,,,216501500,,,,,
HCA,2025-06-30,2025-08-29,1653000000.0,18605000000.0,-4394000000.0,46364000000.0,216501500,,,0.0888470841171728,-10.551661356395083,
HCA,2025-09-30,2025-11-29,1643000000.0,19161000000.0,-5335000000.0,46349000000.0,216501500,,,0.08574709044413131,-8.68772258669166,
HCA,2025-12-31,2026-03-01,1878000000.0,19513000000.0,-6027000000.0,48697000000.0,216501500,,,0.09624352995438938,-8.079807532769205,
HCA,2026-03-31,2026-05-30,1620000000.0,19109000000.0,-6303000000.0,49845000000.0,216501500,6794000000.0,-1.0778994129779471,0.08477680674027945,-7.908138981437411,
HCA,2026-06-30,2026-08-29,1699000000.0,20230000000.0,-6642000000.0,51552000000.0,216501500,6840000000.0,-1.029810298102981,0.08398418190805734,-7.761517615176151,0.027828191167574106
