ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
HON,2021-12-31,2022-03-01,,,,,316940010,,,,,
HON,2022-12-31,2023-03-01,4966000000.0,35466000000.0,16697000000.0,20537000000.0,316940010,4966000000.0,0.29741869796969517,0.14002142897422884,1.2299814337905013,
HON,2023-12-31,2024-02-29,5658000000.0,33009000000.0,15856000000.0,21536000000.0,316940010,5658000000.0,0.3568365287588295,0.1714077978733073,1.3582240161453079,0.13934756343133306
HON,2024-12-31,2025-03-01,,,,,316940010,,,,,
HON,2025-03-31,2025-05-30,,,,,316940010,,,,,
HON,2025-06-30,2025-08-29,1570000000.0,9322000000.0,16095000000.0,36512000000.0,316940010,,,0.1684187942501609,2.268530599565082,
HON,2025-09-30,2025-11-29,1825000000.0,10408000000.0,16782000000.0,37037000000.0,316940010,,,0.17534588777863183,2.206947920390895,
HON,2025-12-31,2026-03-01,-115000000.0,6860000000.0,13904000000.0,35563000000.0,316940010,,,-0.016763848396501458,2.5577531645569622,
HON,2026-03-31,2026-05-30,821000000.0,9143000000.0,13590000000.0,36739000000.0,316940010,4101000000.0,0.30176600441501106,0.08979547194575085,2.703384841795438,
HON,2026-06-30,2026-08-29,5682000000.0,9719000000.0,18537000000.0,33988000000.0,316940010,8213000000.0,0.4430598262933592,0.5846280481531022,1.8335221448993904,2.619108280254777
