ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
HPE,2021-10-31,2021-12-30,,,,,1324203521,,,,,
HPE,2022-10-31,2022-12-30,868000000.0,28496000000.0,19864000000.0,13484000000.0,1324203521,868000000.0,0.0436971405557793,0.030460415496911846,0.6788159484494563,
HPE,2023-10-31,2023-12-30,2025000000.0,29135000000.0,21182000000.0,13515000000.0,1324203521,2025000000.0,0.09560003776791616,0.06950403295006007,0.6380417335473515,1.3329493087557605
HPE,2024-10-31,2024-12-30,2579000000.0,30127000000.0,24816000000.0,19816000000.0,1324203521,2579000000.0,0.10392488716956802,0.08560427523483918,0.7985170857511283,0.27358024691358024
HPE,2025-01-31,2025-04-01,,,,,1324203521,,,,,
HPE,2025-04-30,2025-06-29,-1050000000.0,7627000000.0,23867000000.0,17530000000.0,1324203521,,,-0.1376688081814606,0.7344869485063058,
HPE,2025-07-31,2025-09-29,305000000.0,9136000000.0,24402000000.0,23653000000.0,1324203521,,,0.033384413309982486,0.9693057946069994,
HPE,2025-10-31,2025-12-30,175000000.0,9679000000.0,24688000000.0,24077000000.0,1324203521,,,0.018080380204566586,0.975251134154245,
HPE,2026-01-31,2026-04-01,452000000.0,9301000000.0,24774000000.0,21611000000.0,1324203521,-118000000.0,-0.004763058044724308,0.04859692506182131,0.8723258254621781,
HPE,2026-04-30,2026-06-29,624000000.0,10678000000.0,25292000000.0,21246000000.0,1324203521,1556000000.0,0.06152142970109126,0.05843790972092152,0.8400284674996046,1.5942857142857143
