ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
HST,2021-12-31,2022-03-01,,,,,685124399,,,,,
HST,2022-12-31,2023-03-01,633000000.0,4907000000.0,6710000000.0,4783000000.0,685124399,633000000.0,0.09433681073025335,0.12899938862848992,0.7128166915052161,
HST,2023-12-31,2024-02-29,740000000.0,5311000000.0,6633000000.0,4772000000.0,685124399,740000000.0,0.1115633951454847,0.13933345885897194,0.719433137343585,0.16903633491311215
HST,2024-12-31,2025-03-01,,,,,685124399,,,,,
HST,2025-03-31,2025-05-30,,,,,685124399,,,,,
HST,2025-06-30,2025-08-29,221000000.0,1586000000.0,6638000000.0,5643000000.0,685124399,,,0.13934426229508196,0.8501054534498342,
HST,2025-09-30,2025-11-29,161000000.0,1331000000.0,6661000000.0,5643000000.0,685124399,,,0.12096168294515403,0.8471700945803934,
HST,2025-12-31,2026-03-01,135000000.0,1603000000.0,6558000000.0,5640000000.0,685124399,,,0.0842170929507174,0.8600182982616651,
HST,2026-03-31,2026-05-30,494000000.0,1645000000.0,6827000000.0,5645000000.0,685124399,1011000000.0,0.14808847224256627,0.30030395136778115,0.8268639226600264,
HST,2026-06-30,2026-08-29,237000000.0,1640000000.0,6388000000.0,5645000000.0,685124399,1027000000.0,0.16077019411396368,0.1445121951219512,0.8836881653099562,0.07239819004524888
