ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
HUBB,2021-12-31,2022-03-01,,,,,52832571,,,,,
HUBB,2022-12-31,2023-03-01,545900000.0,4947900000.0,2360900000.0,1558000000.0,52832571,545900000.0,0.2312253801516371,0.1103296347945593,0.6599178279469694,
HUBB,2023-12-31,2024-02-29,751400000.0,5372900000.0,2877000000.0,2290000000.0,52832571,751400000.0,0.2611748348974626,0.13984998790225017,0.7959680222453945,0.37644257189961533
HUBB,2024-12-31,2025-03-01,,,,,52832571,,,,,
HUBB,2025-03-31,2025-05-30,,,,,52832571,,,,,
HUBB,2025-06-30,2025-08-29,244200000.0,1484300000.0,3487700000.0,2000700000.0,52832571,,,0.16452199690089606,0.5736445221779396,
HUBB,2025-09-30,2025-11-29,255500000.0,1502400000.0,3681300000.0,2149700000.0,52832571,,,0.1700612353567625,0.5839513215440197,
HUBB,2025-12-31,2026-03-01,224200000.0,1492700000.0,3847900000.0,2487300000.0,52832571,,,0.15019762845849802,0.6464045323423165,
HUBB,2026-03-31,2026-05-30,181800000.0,1516700000.0,3768600000.0,2738700000.0,52832571,905700000.0,0.24032797325266678,0.11986549746159425,0.7267154911638274,
HUBB,2026-06-30,2026-08-29,240400000.0,1711800000.0,3911900000.0,5556600000.0,52832571,901900000.0,0.23055292824458704,0.14043696693538965,1.4204350826963879,-0.015561015561015561
