ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
IBKR,2021-12-31,2022-03-01,,,,,453077771,,,,,
IBKR,2022-12-31,2023-03-01,380000000.0,4192000000.0,2848000000.0,18000000.0,453077771,380000000.0,0.13342696629213482,0.09064885496183206,0.006320224719101123,
IBKR,2023-12-31,2024-02-29,600000000.0,7787000000.0,3584000000.0,17000000.0,453077771,600000000.0,0.16741071428571427,0.07705149608321561,0.004743303571428571,0.5789473684210527
IBKR,2024-12-31,2025-03-01,,,,,453077771,,,,,
IBKR,2025-03-31,2025-05-30,,,,,453077771,,,,,
IBKR,2025-06-30,2025-08-29,224000000.0,2469000000.0,4825000000.0,8000000.0,453077771,,,0.0907249898744431,0.0016580310880829016,
IBKR,2025-09-30,2025-11-29,263000000.0,2704000000.0,5106000000.0,904000000.0,453077771,,,0.09726331360946745,0.17704661182922052,
IBKR,2025-12-31,2026-03-01,284000000.0,2739000000.0,5363000000.0,19000000.0,453077771,,,0.10368747718145309,0.0035427932127540555,
IBKR,2026-03-31,2026-05-30,267000000.0,2646000000.0,5585000000.0,12000000.0,453077771,1038000000.0,0.18585496866606982,0.10090702947845805,0.0021486123545210387,
IBKR,2026-06-30,2026-08-29,312000000.0,2996000000.0,5904000000.0,13000000.0,453077771,1126000000.0,0.1907181571815718,0.1041388518024032,0.0022018970189701895,0.39285714285714285
