ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
IFF,2021-12-31,2022-03-01,,,,,255149963,,,,,
IFF,2022-12-31,2023-03-01,-1868000000.0,12440000000.0,17655000000.0,11728000000.0,255149963,-1868000000.0,-0.10580572075899179,-0.15016077170418007,0.6642877371849334,
IFF,2023-12-31,2024-02-29,-2591000000.0,11479000000.0,14611000000.0,10798000000.0,255149963,-2591000000.0,-0.1773321470125248,-0.2257165258297761,0.7390322359865854,-0.38704496788008563
IFF,2024-12-31,2025-03-01,,,,,255149963,,,,,
IFF,2025-03-31,2025-05-30,,,,,255149963,,,,,
IFF,2025-06-30,2025-08-29,599000000.0,1919000000.0,14404000000.0,6850000000.0,255149963,,,0.31214174048983845,0.47556234379339074,
IFF,2025-09-30,2025-11-29,40000000.0,2694000000.0,14241000000.0,6690000000.0,255149963,,,0.014847809948032665,0.4697703812934485,
IFF,2025-12-31,2026-03-01,31000000.0,2589000000.0,14154000000.0,6619000000.0,255149963,,,0.01197373503283121,0.46764165606895575,
IFF,2026-03-31,2026-05-30,169000000.0,2741000000.0,14120000000.0,6435000000.0,255149963,839000000.0,0.05941926345609065,0.06165632980663991,0.4557365439093484,
IFF,2026-06-30,2026-08-29,50000000.0,1954000000.0,13976000000.0,6243000000.0,255149963,290000000.0,0.020749856897538638,0.0255885363357216,0.44669433314253004,-0.9165275459098498
