ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
INTC,2021-12-31,2022-03-01,,,,,5286105262,,,,,
INTC,2022-12-31,2023-03-01,8014000000.0,63054000000.0,101423000000.0,42007000000.0,5286105262,8014000000.0,0.07901560789958885,0.1270974085704317,0.4141762716543585,
INTC,2023-12-31,2024-02-29,1689000000.0,54228000000.0,105590000000.0,49266000000.0,5286105262,1689000000.0,0.01599583293872526,0.031146271298959947,0.46657827445780853,-0.7892438233092088
INTC,2024-12-31,2025-03-01,,,,,5286105262,,,,,
INTC,2025-03-31,2025-05-30,,,,,5286105262,,,,,
INTC,2025-06-30,2025-08-29,-2918000000.0,12859000000.0,97883000000.0,50757000000.0,5286105262,,,-0.22692277782098141,0.5185476538316153,
INTC,2025-09-30,2025-11-29,4063000000.0,13653000000.0,106376000000.0,46553000000.0,5286105262,,,0.2975902732000293,0.43762690832518614,
INTC,2025-12-31,2026-03-01,-591000000.0,13674000000.0,114281000000.0,46585000000.0,5286105262,,,-0.04322071083808688,0.4076355649670549,
INTC,2026-03-31,2026-05-30,-3728000000.0,13577000000.0,111394000000.0,45031000000.0,5286105262,-3174000000.0,-0.02849345566188484,-0.2745820136996391,0.4042497800599673,
INTC,2026-06-30,2026-08-29,-11033000000.0,16128000000.0,87542000000.0,50537000000.0,5286105262,-11289000000.0,-0.12895524433985972,-0.6840897817460317,0.5772886157501542,-2.781014393420151
