ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
ISRG,2021-12-31,2022-03-01,,,,87000000.0,358278038,,,,,
ISRG,2022-12-31,2023-03-01,1322300000.0,6222200000.0,11041900000.0,,358278038,1322300000.0,0.11975294106992455,0.2125132589759249,,
ISRG,2023-12-31,2024-02-29,1798000000.0,7124100000.0,13307600000.0,,358278038,1798000000.0,0.135110763774084,0.25238275712019764,,0.35975194736444077
ISRG,2024-12-31,2025-03-01,,,,,358278038,,,,,
ISRG,2025-03-31,2025-05-30,,,,,358278038,,,,,
ISRG,2025-06-30,2025-08-29,658400000.0,2440000000.0,17845700000.0,,358278038,,,0.2698360655737705,,
ISRG,2025-09-30,2025-11-29,704400000.0,2505100000.0,16929700000.0,,358278038,,,0.28118637978523814,,
ISRG,2025-12-31,2026-03-01,794800000.0,2866200000.0,17824000000.0,,358278038,,,0.27730095596957643,,
ISRG,2026-03-31,2026-05-30,821500000.0,2770800000.0,17474500000.0,,358278038,2979100000.0,0.17048270336776444,0.2964847697415909,,
ISRG,2026-06-30,2026-08-29,818100000.0,2892300000.0,18168400000.0,,358278038,3138800000.0,0.1727614979855133,0.282854475676797,,0.2425577156743621
