ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
JBL,2021-08-31,2021-10-30,,,,,104787089,,,,,
JBL,2022-08-31,2022-10-30,996000000.0,33478000000.0,2451000000.0,3411000000.0,104787089,996000000.0,0.40636474908200737,0.029750881175697474,1.3916768665850674,
JBL,2023-08-31,2023-10-30,818000000.0,34702000000.0,2866000000.0,3248000000.0,104787089,818000000.0,0.2854152128401954,0.02357212840758458,1.1332868108862526,-0.178714859437751
JBL,2024-08-31,2024-10-30,1388000000.0,28883000000.0,1737000000.0,3257000000.0,104787089,1388000000.0,0.7990788716177317,0.0480559498667036,1.8750719631548647,0.6968215158924206
JBL,2024-11-30,2025-01-29,,,,,104787089,,,,,
JBL,2025-02-28,2025-04-29,,,,,104787089,,,,,
JBL,2025-05-31,2025-07-30,222000000.0,7828000000.0,1285000000.0,3330000000.0,104787089,,,0.028359734287174247,2.5914396887159534,
JBL,2025-08-31,2025-10-30,218000000.0,8252000000.0,1513000000.0,3366000000.0,104787089,,,0.026417838099854582,2.2247191011235956,
JBL,2025-11-30,2026-01-29,146000000.0,8305000000.0,1344000000.0,3368000000.0,104787089,,,0.01757977122215533,2.505952380952381,
JBL,2026-02-28,2026-04-29,223000000.0,8282000000.0,1344000000.0,4389000000.0,104787089,809000000.0,0.6019345238095238,0.02692586331803912,3.265625,
JBL,2026-05-31,2026-07-30,275000000.0,8751000000.0,1323000000.0,3892000000.0,104787089,862000000.0,0.6515495086923658,0.031424980002285455,2.941798941798942,0.23873873873873874
