ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
KKR,2021-12-31,2022-03-01,,,,,897635601,,,,,
KKR,2022-12-31,2023-03-01,-521664000.0,5565056000.0,18807767000.0,44074997000.0,897635601,-521664000.0,-0.027736626043910476,-0.09373921843733468,2.3434465665169077,
KKR,2023-12-31,2024-02-29,3732261000.0,14322870000.0,22858694000.0,49387579000.0,897635601,3732261000.0,0.16327533847734257,0.26058052610964144,2.1605599602496977,8.154530502392344
KKR,2024-12-31,2025-03-01,,,,,897635601,,,,,
KKR,2025-03-31,2025-05-30,,,,,897635601,,,,,
KKR,2025-06-30,2025-08-29,510123000.0,5002879000.0,28219229000.0,52484127000.0,897635601,,,0.1019658880416656,1.8598710475045226,
KKR,2025-09-30,2025-11-29,900357000.0,5464926000.0,29749202000.0,54448981000.0,897635601,,,0.16475191063886319,1.8302669429586715,
KKR,2025-12-31,2026-03-01,1145907000.0,5685044000.0,30902561000.0,54537875000.0,897635601,,,0.20156519457017394,1.7648335036050895,
KKR,2026-03-31,2026-05-30,405229000.0,4252726000.0,30496153000.0,54634915000.0,897635601,2961616000.0,0.09711441308679164,0.09528688187294455,1.7915346568467176,
KKR,2026-06-30,2026-08-29,700482000.0,5657340000.0,31047399000.0,54960856000.0,897635601,3151975000.0,0.10152138670295699,0.12381826087878756,1.7702241659599247,0.37316294305491027
