ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
KLAC,2022-06-30,2022-08-29,,,,,1306546783,,,,,
KLAC,2023-06-30,2023-08-29,3387277000.0,10496056000.0,2919753000.0,6063132000.0,1306546783,3387277000.0,1.160124503682332,0.3227190289381078,2.0765907253113536,
KLAC,2024-06-30,2024-08-29,2761896000.0,9812247000.0,3368328000.0,6819643000.0,1306546783,2761896000.0,0.8199605264095421,0.2814743656575298,2.0246374462344523,-0.184626471351472
KLAC,2024-12-31,2025-03-01,,,,,1306546783,,,,,
KLAC,2025-03-31,2025-05-30,,,,,1306546783,,,,,
KLAC,2025-06-30,2025-08-29,1202849000.0,3174741000.0,4692453000.0,6088282000.0,1306546783,,,0.3788809858819979,1.297462542512413,
KLAC,2025-09-30,2025-11-29,1121040000.0,3209696000.0,4985071000.0,6088119000.0,1306546783,,,0.34926672183284646,1.2212702687684889,
KLAC,2025-12-31,2026-03-01,1145682000.0,3297146000.0,5465731000.0,6109478000.0,1306546783,,,0.3474768784882441,1.117778756400562,
KLAC,2026-03-31,2026-05-30,1200990000.0,3415078000.0,5830495000.0,6145360000.0,1306546783,4670561000.0,0.8010573716296815,0.351672787561514,1.0540031335246836,
KLAC,2026-06-30,2026-08-29,1363059000.0,3657556000.0,6349820000.0,6151713000.0,1306546783,4830771000.0,0.7607729037988479,0.3726693453223956,0.9688011628676089,0.13319211305824755
