ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
KO,2021-12-31,2022-03-01,,,,,4302549243,,,,,
KO,2022-12-31,2023-03-01,9542000000.0,43004000000.0,24105000000.0,39149000000.0,4302549243,9542000000.0,0.3958514830947936,0.2218863361547763,1.6241028832192492,
KO,2023-12-31,2024-02-29,10714000000.0,45754000000.0,25941000000.0,42064000000.0,4302549243,10714000000.0,0.41301414748853166,0.23416531887922368,1.6215257700165762,0.12282540347935443
KO,2024-12-31,2025-03-01,,,,,4302549243,,,,,
KO,2025-03-31,2025-05-30,,,,,4302549243,,,,,
KO,2025-06-30,2025-08-29,3810000000.0,12535000000.0,28585000000.0,49446000000.0,4302549243,,,0.3039489429597128,1.7297883505334966,
KO,2025-09-30,2025-11-29,3696000000.0,12455000000.0,31247000000.0,47416000000.0,4302549243,,,0.2967482938578884,1.5174576759368898,
KO,2025-12-31,2026-03-01,2271000000.0,11822000000.0,32169000000.0,45492000000.0,4302549243,,,0.19209947555405177,1.4141564860580063,
KO,2026-03-31,2026-05-30,3924000000.0,12472000000.0,33633000000.0,43890000000.0,4302549243,13701000000.0,0.4073677638034074,0.31462475946119306,1.304968334671305,
KO,2026-06-30,2026-08-29,4425000000.0,13380000000.0,36150000000.0,43543000000.0,4302549243,14316000000.0,0.39601659751037344,0.3307174887892377,1.204508990318119,0.16141732283464566
