ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
KR,2022-01-31,2022-04-01,,,,,612647282,,,,,
KR,2023-01-31,2023-04-01,2244000000.0,148258000000.0,10042000000.0,20412000000.0,612647282,2244000000.0,0.22346146186018723,0.015135776821486868,2.0326628161720772,
KR,2024-01-31,2024-03-31,2164000000.0,150039000000.0,11615000000.0,19247000000.0,612647282,2164000000.0,0.18631080499354283,0.014422916708322502,1.6570813603099441,-0.035650623885918005
KR,2025-01-31,2025-04-01,,,,,612647282,,,,,
KR,2025-04-30,2025-06-29,866000000.0,45118000000.0,,,612647282,,,0.01919411321423822,,
KR,2025-05-31,2025-07-30,,,8913000000.0,25208000000.0,612647282,,,,2.828228430382587,
KR,2025-07-31,2025-09-29,609000000.0,33940000000.0,9282000000.0,25178000000.0,612647282,,,0.017943429581614614,2.7125619478560656,
KR,2025-10-31,2025-12-30,-1320000000.0,33859000000.0,7042000000.0,25199000000.0,612647282,,,-0.03898520334327653,3.5783868219255894,
KR,2026-01-31,2026-04-01,861000000.0,34725000000.0,5927000000.0,24692000000.0,612647282,,,0.024794816414686824,4.1660199088915135,-0.005773672055427252
KR,2026-04-30,2026-06-29,903000000.0,46121000000.0,6472000000.0,24192000000.0,612647282,1053000000.0,0.1627008652657602,0.019578933674464994,3.737948084054388,
