ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
LIN,2021-12-31,2022-03-01,,,,,460980163,,,,,
LIN,2022-12-31,2023-03-01,4147000000.0,33364000000.0,40028000000.0,18791000000.0,460980163,4147000000.0,0.10360247826521435,0.12429564800383647,0.4694463875287299,
LIN,2023-12-31,2024-02-29,6199000000.0,32854000000.0,39720000000.0,20315000000.0,460980163,6199000000.0,0.156067472306143,0.18868326535581664,0.5114551863041289,0.4948155292982879
LIN,2024-12-31,2025-03-01,,,,,460980163,,,,,
LIN,2025-03-31,2025-05-30,,,,,460980163,,,,,
LIN,2025-06-30,2025-08-29,1766000000.0,8495000000.0,38515000000.0,25920000000.0,460980163,,,0.20788699234844027,0.6729845514734519,
LIN,2025-09-30,2025-11-29,1929000000.0,8615000000.0,38616000000.0,25925000000.0,460980163,,,0.22391178177597215,0.6713538429666459,
LIN,2025-12-31,2026-03-01,1530000000.0,8764000000.0,38245000000.0,28069000000.0,460980163,,,0.1745778183477864,0.7339260033991372,
LIN,2026-03-31,2026-05-30,1857000000.0,8781000000.0,38566000000.0,26317000000.0,460980163,7082000000.0,0.1836332520873308,0.21147933037239494,0.6823886324742001,
LIN,2026-06-30,2026-08-29,1928000000.0,9289000000.0,39081000000.0,28013000000.0,460980163,7244000000.0,0.18535861416033367,0.20755732586930778,0.7167933266804841,0.09173272933182333
