ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
LUV,2021-12-31,2022-03-01,,,,,489208201,,,,,
LUV,2022-12-31,2023-03-01,539000000.0,23814000000.0,10687000000.0,9431000000.0,489208201,539000000.0,0.05043510807523159,0.02263374485596708,0.8824740338729298,
LUV,2023-12-31,2024-02-29,465000000.0,26091000000.0,10515000000.0,9200000000.0,489208201,465000000.0,0.0442225392296719,0.017822237553179257,0.874940561103186,-0.137291280148423
LUV,2024-12-31,2025-03-01,,,,,489208201,,,,,
LUV,2025-03-31,2025-05-30,,,,,489208201,,,,,
LUV,2025-06-30,2025-08-29,213000000.0,7244000000.0,8000000000.0,5341000000.0,489208201,,,0.029403644395361677,0.667625,
LUV,2025-09-30,2025-11-29,54000000.0,6949000000.0,7776000000.0,5258000000.0,489208201,,,0.007770902288099007,0.6761831275720165,
LUV,2025-12-31,2026-03-01,323000000.0,7442000000.0,7981000000.0,5981000000.0,489208201,,,0.04340231120666487,0.7494048364866558,
LUV,2026-03-31,2026-05-30,227000000.0,7249000000.0,6875000000.0,6396000000.0,489208201,817000000.0,0.11883636363636364,0.03131466409159884,0.9303272727272728,
LUV,2026-06-30,2026-08-29,233000000.0,8432000000.0,7082000000.0,6889000000.0,489208201,837000000.0,0.1181869528381813,0.02763282732447818,0.9727478113527253,0.09389671361502347
