ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
MET,2021-12-31,2022-03-01,,,,,635476927,,,,,
MET,2022-12-31,2023-03-01,5284000000.0,67409000000.0,29881000000.0,17980000000.0,635476927,5284000000.0,0.1768347779525451,0.0783871589847053,0.6017201566212643,
MET,2023-12-31,2024-02-29,1578000000.0,67934000000.0,30015000000.0,18828000000.0,635476927,1578000000.0,0.052573713143428284,0.023228427591485853,0.6272863568215892,-0.7013626040878123
MET,2024-12-31,2025-03-01,,,,,635476927,,,,,
MET,2025-03-31,2025-05-30,,,,,635476927,,,,,
MET,2025-06-30,2025-08-29,729000000.0,17176000000.0,27685000000.0,19906000000.0,635476927,,,0.04244294364229157,0.7190175185118295,
MET,2025-09-30,2025-11-29,896000000.0,16881000000.0,28944000000.0,19832000000.0,635476927,,,0.0530774243232036,0.6851851851851852,
MET,2025-12-31,2026-03-01,809000000.0,23291000000.0,28398000000.0,20183000000.0,635476927,,,0.034734446782018806,0.7107190647228678,
MET,2026-03-31,2026-05-30,1185000000.0,18616000000.0,27324000000.0,21130000000.0,635476927,3619000000.0,0.1324476650563607,0.06365492049849591,0.7733128385302298,
MET,2026-06-30,2026-08-29,736000000.0,18877000000.0,27441000000.0,21345000000.0,635476927,3626000000.0,0.13213804161655918,0.03898924617259098,0.7778506614190445,0.009602194787379973
