ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
MMM,2021-12-31,2022-03-01,,,,,515722417,,,,,
MMM,2022-12-31,2023-03-01,5777000000.0,26161000000.0,14722000000.0,16855000000.0,515722417,5777000000.0,0.3924059231082733,0.22082489201483124,1.1448852058144274,
MMM,2023-12-31,2024-02-29,-6995000000.0,24610000000.0,4807000000.0,16751000000.0,515722417,-6995000000.0,-1.4551695444143957,-0.2842340511986997,3.4847097982109423,-2.210836074086896
MMM,2024-12-31,2025-03-01,,,,,515722417,,,,,
MMM,2025-03-31,2025-05-30,,,,,515722417,,,,,
MMM,2025-06-30,2025-08-29,723000000.0,6344000000.0,4290000000.0,13726000000.0,515722417,,,0.11396595208070617,3.1995337995337993,
MMM,2025-09-30,2025-11-29,834000000.0,6517000000.0,4628000000.0,13156000000.0,515722417,,,0.1279729937087617,2.842696629213483,
MMM,2025-12-31,2026-03-01,577000000.0,6133000000.0,4702000000.0,12602000000.0,515722417,,,0.09408120006522093,2.6801361122926415,
MMM,2026-03-31,2026-05-30,653000000.0,6030000000.0,3263000000.0,12556000000.0,515722417,2787000000.0,0.854121973643886,0.10829187396351575,3.8479926448053936,
MMM,2026-06-30,2026-08-29,933000000.0,6500000000.0,2952000000.0,12551000000.0,515722417,2997000000.0,1.0152439024390243,0.14353846153846153,4.251693766937669,0.29045643153526973
