ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
MO,2021-12-31,2022-03-01,,,,,1669743926,,,,,
MO,2022-12-31,2023-03-01,5764000000.0,20688000000.0,-3973000000.0,26680000000.0,1669743926,5764000000.0,-1.4507928517493078,0.27861562258314,-6.7153284671532845,
MO,2023-12-31,2024-02-29,8130000000.0,20502000000.0,-3540000000.0,26233000000.0,1669743926,8130000000.0,-2.2966101694915255,0.3965466783728417,-7.41045197740113,0.4104788341429563
MO,2024-12-31,2025-03-01,,,,,1669743926,,,,,
MO,2025-03-31,2025-05-30,,,,,1669743926,,,,,
MO,2025-06-30,2025-08-29,2378000000.0,5290000000.0,-3256000000.0,24720000000.0,1669743926,,,0.4495274102079395,-7.592137592137592,
MO,2025-09-30,2025-11-29,2375000000.0,5251000000.0,-2646000000.0,25701000000.0,1669743926,,,0.45229480099028757,-9.713151927437641,
MO,2025-12-31,2026-03-01,1117000000.0,5079000000.0,-3502000000.0,25709000000.0,1669743926,,,0.21992518212246506,-7.341233580810965,
MO,2026-03-31,2026-05-30,2183000000.0,4758000000.0,-3211000000.0,24602000000.0,1669743926,8053000000.0,-2.5079414512612894,0.4588062211013031,-7.661787605107443,
MO,2026-06-30,2026-08-29,2298000000.0,5356000000.0,-2668000000.0,24577000000.0,1669743926,7973000000.0,-2.9883808095952022,0.4290515309932786,-9.211769115442278,-0.0336417157275021
