ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
MPC,2021-12-31,2022-03-01,,,,,280824763,,,,,
MPC,2022-12-31,2023-03-01,14516000000.0,177453000000.0,27715000000.0,27909000000.0,280824763,14516000000.0,0.523759696915028,0.08180194192264995,1.0069998195922785,
MPC,2023-12-31,2024-02-29,9681000000.0,148379000000.0,24404000000.0,28501000000.0,280824763,9681000000.0,0.3966972627438125,0.06524508185120535,1.1678823143746926,-0.3330807384954533
MPC,2024-12-31,2025-03-01,,,,,280824763,,,,,
MPC,2025-03-31,2025-05-30,,,,,280824763,,,,,
MPC,2025-06-30,2025-08-29,1216000000.0,33799000000.0,16624000000.0,30035000000.0,280824763,,,0.035977395780940266,1.8067252165543792,
MPC,2025-09-30,2025-11-29,1370000000.0,34809000000.0,17097000000.0,34203000000.0,280824763,,,0.03935763739262834,2.0005264081417793,
MPC,2025-12-31,2026-03-01,1535000000.0,32574000000.0,17314000000.0,34358000000.0,280824763,,,0.04712347270829496,1.9844056832621,
MPC,2026-03-31,2026-05-30,511000000.0,34200000000.0,16753000000.0,34326000000.0,280824763,4632000000.0,0.2764877932310631,0.014941520467836257,2.0489464573509224,
MPC,2026-06-30,2026-08-29,5138000000.0,51994000000.0,19077000000.0,34292000000.0,280824763,8554000000.0,0.4483933532526079,0.0988190945109051,1.7975572679142422,3.2253289473684212
