ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
NDAQ,2021-12-31,2022-03-01,,,,,558977372,,,,,
NDAQ,2022-12-31,2023-03-01,1125000000.0,6226000000.0,6151000000.0,5851000000.0,558977372,1125000000.0,0.18289708990408063,0.1806938644394475,0.9512274426922451,
NDAQ,2023-12-31,2024-02-29,1059000000.0,6064000000.0,10816000000.0,10871000000.0,558977372,1059000000.0,0.09791050295857988,0.1746372031662269,1.0050850591715976,-0.058666666666666666
NDAQ,2024-12-31,2025-03-01,,,,,558977372,,,,,
NDAQ,2025-03-31,2025-05-30,,,,,558977372,,,,,
NDAQ,2025-06-30,2025-08-29,452000000.0,2101000000.0,11811000000.0,9631000000.0,558977372,,,0.21513564969062351,0.8154262975192617,
NDAQ,2025-09-30,2025-11-29,423000000.0,1958000000.0,12023000000.0,9552000000.0,558977372,,,0.2160367722165475,0.7944772519337936,
NDAQ,2025-12-31,2026-03-01,518000000.0,2124000000.0,12227000000.0,9466000000.0,558977372,,,0.243879472693032,0.7741882718573648,
NDAQ,2026-03-31,2026-05-30,519000000.0,2137000000.0,12033000000.0,9445000000.0,558977372,1912000000.0,0.1588963683204521,0.24286382779597568,0.7849247901603923,
NDAQ,2026-06-30,2026-08-29,507000000.0,2532000000.0,11988000000.0,9243000000.0,558977372,1967000000.0,0.16408074741408074,0.20023696682464456,0.771021021021021,0.12168141592920353
