ticker,period_end,available_date,net_income,total_revenue,total_equity,total_debt,shares_outstanding,ttm_net_income,roe,net_margin,debt_to_equity,earnings_growth_yoy
NKE,2022-05-31,2022-07-30,,,,,1202110951,,,,,
NKE,2023-05-31,2023-07-30,5070000000.0,51217000000.0,14004000000.0,12144000000.0,1202110951,5070000000.0,0.3620394173093402,0.09899056953745826,0.8671808054841473,
NKE,2024-05-31,2024-07-30,5700000000.0,51362000000.0,14430000000.0,11952000000.0,1202110951,5700000000.0,0.39501039501039503,0.11097698687745804,0.8282744282744283,0.1242603550295858
NKE,2024-11-30,2025-01-29,,,,,1202110951,,,,,
NKE,2025-02-28,2025-04-29,,,,,1202110951,,,,,
NKE,2025-05-31,2025-07-30,211000000.0,11097000000.0,13213000000.0,11013000000.0,1202110951,,,0.019014147967919257,0.8334973132521002,
NKE,2025-08-31,2025-10-30,727000000.0,11720000000.0,13468000000.0,11061000000.0,1202110951,,,0.06203071672354949,0.8212800712800713,
NKE,2025-11-30,2026-01-29,792000000.0,12427000000.0,14085000000.0,11282000000.0,1202110951,,,0.06373219602478475,0.8009939652112176,
NKE,2026-02-28,2026-04-29,520000000.0,11279000000.0,14090000000.0,11178000000.0,1202110951,2250000000.0,0.1596877217885025,0.04610337795903892,0.7933286018452803,
NKE,2026-05-31,2026-07-30,1069000000.0,10972000000.0,14865000000.0,11033000000.0,1202110951,3108000000.0,0.20908173562058527,0.09742982136347066,0.7422132526067945,4.0663507109004735
